model,find,out,how,to,get,into,triathlon,in,our,special,guide,.
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
australian,0.31995531457633497,-1,0.2989231803735257,-1,0.33787953234380197,-1,0.45934067298496073,-1,-1,0.4651646374097138,0.20909741273480908,-1
runner,0.0957883509031019,-1,0.006619463721593832,-1,0.13506230255986829,-1,0.39691719719103413,-1,-1,0.051173190981227856,0.21190797115476068,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
suffered,0.1424409357838119,-1,0.18037588731473797,-1,0.22567863754012008,-1,0.03950466666726915,-1,-1,0.13172643131005513,-0.09822546096206652,-1
life-threatening,0.12115187861284382,-1,0.13713779128555548,-1,0.14244505806188934,-1,-0.13857424243591443,-1,-1,0.15373017676074308,0.0554011908314479,-1
burns,0.09787792625905889,-1,0.15958563245002189,-1,0.18432456626795002,-1,-0.023461228703775205,-1,-1,0.09853213495917079,-0.004981515656380164,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
she,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,0.437464097575472,-1,0.4227558468906092,-1,0.5002101523030086,-1,0.018733676045698422,-1,-1,0.3024932168363532,0.12787499111674505,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bushfire,-0.16960770694263871,-1,-0.2368797230185109,-1,-0.23920808166975394,-1,0.2137284653564866,-1,-1,0.030466495200320853,-0.022042426828881023,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
race,0.23692037444101643,-1,0.31418951675450324,-1,0.438750686464087,-1,0.46283322033303154,-1,-1,0.3781471444688176,0.2604540796672288,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
completed,0.32021829220331877,-1,0.3029571997467715,-1,0.3302666386725286,-1,0.10994759127699849,-1,-1,0.26289192381442883,0.06530416923592497,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hawaii,0.04576280254512344,-1,0.029274602510207637,-1,0.04135729084286044,-1,0.1216455494874703,-1,-1,0.15515294100578192,0.08714981388152132,-1
ironman,-0.13497238712266446,-1,-0.13605956470323122,-1,-0.15833209918790958,-1,0.6548399993718971,-1,-1,0.0784691505148305,0.11843698535332925,-1
seen,0.37551598104900463,-1,0.48623181171029384,-1,0.3934199651258161,-1,0.07162988975962314,-1,-1,0.3667291523797114,0.1483646798358631,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,0.3409750271577854,-1,0.36437029227728024,-1,0.3491816177410796,-1,0.6323211514943923,-1,-1,0.3405137558604505,0.161074289370702,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toughest,0.15469789292891878,-1,0.14728225628499902,-1,0.13486067796897072,-1,0.36066506552353017,-1,-1,0.30550196106157457,0.045117319693415814,-1
triathlon,0.1436489581395194,-1,0.10556059117752659,-1,0.1589219013812596,-1,1.0,-1,-1,0.34574167093190544,0.34618050714497295,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
