model,ms,pitt,completed,a,3.8,km,swim,180km,bike,ride,and,42km,run,in,a,time,of,14:37:30,.
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
australian,0.34671863056179464,0.0459371817248988,0.3310518867715293,-1,-0.040445600375561996,0.18099299912224076,0.2849267524283654,-0.33242878453483615,0.2715987185343245,0.21911256137289292,-1,-0.06212646443724301,0.42221991169273276,-1,-1,-1,-1,-1,-1
runner,0.03464043827644114,0.32578682915212975,0.15722909510464156,-1,0.2267792776007398,0.31487091833404524,0.10732272714837465,0.06086871796952098,0.5197495775107279,0.4626471434434357,-1,0.06243528018618616,0.158986362903891,-1,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
suffered,0.2786916461309291,0.050518674964002086,0.3267183519288708,-1,0.06250325650029587,0.07061270614629733,0.18064272881720278,-0.07171207202413798,0.31348474065857346,0.26825895451204795,-1,-0.004654498196631884,0.35434980024939366,-1,-1,-1,-1,-1,-1
life-threatening,0.1189247356734815,0.05895596225858557,0.22879719343643345,-1,-0.000399053980081554,-0.10709356486115174,0.1693801898052809,-0.06679175928466541,0.14090569416197307,0.2263192786634215,-1,-0.00942785280295011,0.10243258448862946,-1,-1,-1,-1,-1,-1
burns,0.46428110614803564,0.36847422354464476,0.193726305582549,-1,0.10256676493927275,0.24272556702046266,0.0844391177129934,-0.18989737848601185,0.2950772334215169,0.26764097384075924,-1,0.14751925948952427,0.12737452563735774,-1,-1,-1,-1,-1,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
she,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,0.29667789717963733,0.07217654167670495,0.4659890640088894,-1,0.2555414243232922,0.26766579745734675,0.4426516389696469,-0.31630123054991,0.4467075134599895,0.4888507566142948,-1,-0.10985149058562516,0.48313809177561895,-1,-1,-1,-1,-1,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bushfire,-0.287567329889155,-0.24749636375858386,-0.25750828120347924,-1,-0.2423170238308523,-0.4014489262170233,-0.069217254284478,0.06313646044458776,-0.14592070684683245,-0.19360921092426775,-1,-0.034940480533315776,-0.14908273775994552,-1,-1,-1,-1,-1,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
race,0.2669890132031092,0.010683623848744883,0.41709088480232503,-1,-0.01260056536749632,0.15931114841434635,0.27133779085012955,-0.0010854477690613873,0.5749390776606051,0.5626161238736411,-1,-0.010029054295292994,0.5382091032772653,-1,-1,-1,-1,-1,-1
