model,she,also,wore,special,race,clothing,to,deal,with,the,extreme,heat,and,humidity,.
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
australian,-1,-1,0.16698836684889262,0.4651646374097138,0.43846797610023525,0.13134744067028858,-1,0.382379401743155,-1,-1,0.07928584457878052,0.212058310701293,-1,-0.19136896530060477,-1
runner,-1,-1,0.31245892023747834,0.051173190981227856,0.32302384910559545,0.18272288763073685,-1,0.11841353785739095,-1,-1,0.043079944361561595,0.31575057662076733,-1,0.09246869012464687,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
suffered,-1,-1,0.28492223992841326,0.13172643131005513,0.2816117156460459,0.17725996529497545,-1,0.27803996720862534,-1,-1,0.35659472593770947,0.27355263773507277,-1,-0.021132298543421246,-1
life-threatening,-1,-1,0.16176667770515551,0.15373017676074308,0.12795795464075765,0.13827712341061948,-1,0.1917001571952457,-1,-1,0.33909374061333275,0.10997727112668598,-1,0.023888937419318967,-1
burns,-1,-1,0.22952263034248144,0.09853213495917079,0.27420104751776875,0.11617627914789508,-1,0.15694879962607045,-1,-1,0.3324758623022048,0.35707615436262397,-1,0.06160839146712338,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
she,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,-1,-1,0.2904483270961076,0.3024932168363532,0.3392466342030034,0.28380940751239403,-1,0.3200232304852092,-1,-1,0.3397971114736139,0.4013943283294761,-1,0.08905941476117207,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bushfire,-1,-1,-0.17116558081121203,0.030466495200320853,-0.07731706169742503,-0.07800470628468537,-1,-0.07186356760387391,-1,-1,0.1628354181788798,-0.0638292149340669,-1,0.21562994143458702,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
race,-1,-1,0.24595304939685925,0.3781471444688176,1.0,0.17863520022708468,-1,0.22091584053518176,-1,-1,0.32029052586759765,0.3207345770616802,-1,-0.06506997081335664,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
completed,-1,-1,0.11461598673128104,0.26289192381442883,0.41709088480232503,0.15323239871931948,-1,0.4905154135240595,-1,-1,0.1351129867283275,0.2602296659156069,-1,-0.10434026838014976,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hawaii,-1,-1,0.03955842824182709,0.15515294100578192,0.0656605488857922,0.08017075815157859,-1,0.04062951837195217,-1,-1,0.188165342632449,0.3415754377723478,-1,0.27682736490703586,-1
ironman,-1,-1,-0.0722305945878845,0.0784691505148305,0.1649129447813773,-0.14125372287070892,-1,-0.010088633752809217,-1,-1,0.0445914805705645,0.05160035655947426,-1,-0.014918977638394892,-1
seen,-1,-1,0.18761536310709748,0.3667291523797114,0.30232805418263675,0.3196088605333297,-1,0.3060975490867426,-1,-1,0.34572219140477345,0.22226626852779563,-1,0.054098349052220995,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,-1,0.14047899797000596,0.3405137558604505,0.47857172844549756,0.15717141126207745,-1,0.3259747257249084,-1,-1,0.2745798122143621,0.2825059930894027,-1,-0.04901534763332016,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toughest,-1,-1,0.11709713522372434,0.30550196106157457,0.28051204396786034,0.12813629422851314,-1,0.16310929578666777,-1,-1,0.43192352316055516,0.23551668799793335,-1,0.04162490969434607,-1
triathlon,-1,-1,0.058481623316029796,0.34574167093190544,0.46283322033303154,0.07299887165701002,-1,0.10361517288176803,-1,-1,0.1385801020256492,0.2658411687156985,-1,-0.032418779670281506,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
