model,``,i,'m,going,to,need,things,like,cooling,sleeves,and,white,suits,so,i,do,n't,overheat,.
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
australian,-1,-1,-1,0.3493940237676436,-1,0.29734360667210047,0.18884674601038953,0.32841627109694993,-0.029872427901332488,-0.19891002691972903,-1,0.384917973433778,0.0043161044410566785,0.3521445470677639,-1,0.35472910777929256,-1,-0.3990202999370305,-1
runner,-1,-1,-1,0.16954262917678886,-1,0.11504645642451339,0.08005875400235862,0.12591104778005469,0.16995468327251828,0.23937594520360528,-1,0.2400342526028123,0.10352080282496656,0.12150196800682589,-1,0.06008171377248206,-1,-0.13177266062997472,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
suffered,-1,-1,-1,0.2576933403012258,-1,0.24001248434755684,0.23415687439645405,0.2889084791892823,-0.03168137099991353,-0.17784597718270656,-1,0.25485915973132545,0.037769559013325016,0.3393808590938677,-1,0.24527110158545085,-1,-0.13094000049943832,-1
life-threatening,-1,-1,-1,0.1397458635936154,-1,0.1854979729373203,0.15774225981336343,0.13696618564070884,-0.02994761104766064,-0.1434105784593449,-1,0.12233725662036554,0.15551821068977068,0.21883088768056191,-1,0.20156612686969821,-1,0.10377391712940709,-1
burns,-1,-1,-1,0.2465960536187547,-1,0.18273393108150093,0.19760464594830984,0.28347929409852424,0.0038161494113144734,-0.16252699159465034,-1,0.3315926866594514,0.01377328718665094,0.2184526320360889,-1,0.20674391660121794,-1,-0.08834677563191806,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
she,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,-1,-1,-1,0.5306986109457543,-1,0.451344588682717,0.5033441519039251,0.43562288741904576,0.24380842829089922,-0.01344817190434533,-1,0.4378543050703617,0.25660471119709416,0.5521928192464413,-1,0.4541575846930994,-1,-0.2205657156415768,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bushfire,-1,-1,-1,-0.1313778389630289,-1,-0.11326284241547402,-0.23551534067173763,-0.11407807632565636,0.1203842785404039,-0.100262259715997,-1,-0.24107915157214999,-0.021647797870404606,-0.19687541668390418,-1,-0.22508545065569874,-1,-0.021892788205976732,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
race,-1,-1,-1,0.5042549640478388,-1,0.31461310867197545,0.36160009569711726,0.38868490150789925,0.17375395614479883,0.01682536791502598,-1,0.35503538184836336,0.1911846058011245,0.4618761040620608,-1,0.41415038425010975,-1,-0.132451911416551,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
completed,-1,-1,-1,0.36076617542703593,-1,0.33253171220273803,0.27802895191498833,0.188656839495832,0.15595743322566735,-0.012894215571570555,-1,0.16351653206185124,0.08314607610271274,0.4498399619975366,-1,0.32643272442098137,-1,-0.24028116668990585,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hawaii,-1,-1,-1,0.05059439991056547,-1,0.046982113366179856,0.018507777547309368,0.060565562127446126,0.07828866286365022,0.03768355621647923,-1,0.0888695336489268,0.1440950951187031,0.046700518061497664,-1,0.044545546001905856,-1,-0.003677269264312777,-1
ironman,-1,-1,-1,-0.15506991181606145,-1,-0.11589411666452909,-0.17974059453072733,-0.07448607697773091,-0.00041850869553772263,0.06208328699254806,-1,-0.30361788807881407,-0.14358877566986217,-0.17594304866794297,-1,-0.18691312374041336,-1,0.028565858188190685,-1
seen,-1,-1,-1,0.5204051495548784,-1,0.3974071506741348,0.5010324441120796,0.5473779561281957,0.06511323118010426,-0.0899209667189349,-1,0.4520127170530417,0.14861044768209675,0.540628731130735,-1,0.48690410077333035,-1,-0.1869804992959212,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,-1,-1,0.3841284712673102,-1,0.33585455538100084,0.3408787558112245,0.39243686783118015,0.0416574332121149,-0.030695350268654664,-1,0.15926256876941536,0.05931937791083286,0.4367402805128955,-1,0.36521924608230627,-1,-0.2089256527721155,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toughest,-1,-1,-1,0.23619374869403575,-1,0.18588749519613268,0.2973137737313619,0.18387277324046924,0.2795197663313971,0.10415113398215481,-1,-0.05609331193093969,0.2522556405729097,0.2567911214146873,-1,0.23371729665564656,-1,-0.13011404762660428,-1
triathlon,-1,-1,-1,0.14876351023008905,-1,0.03901608363086495,0.03227615561395114,0.18145894283780395,0.12665344328828532,0.13022990954977953,-1,0.01567808024895523,0.021913905763743413,0.10511916023925572,-1,0.09636656654518483,-1,-0.03199889786999677,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
