model,rovers,made,a,positive,start,and,took,the,lead,in,the,seventh,minute,thanks,to,liam,noble,'s,deflected,free-kick,but,the,hosts,were,soon,back,on,level,terms,.
ricky,0.10582856498568494,-1,-1,-0.005636294693923238,-0.025477219594383982,-1,0.11516521091407328,-1,0.13924354033103203,-1,-1,0.06745852908732597,0.10661295228223489,0.09114514509009541,-1,0.5018667344249996,0.6576003401227228,-1,0.1964768049587322,0.2130375868510328,-1,-1,0.14225260286519859,-1,-0.0052683804085471575,-1,-1,-0.016135315559282715,-0.07385782702614518,-1
miller,0.23454158443609174,-1,-1,0.09355339699919485,0.17055064904777018,-1,0.2791497746941294,-1,0.25391584864504124,-1,-1,0.10788358639197848,0.13576371262536968,0.18772438138752323,-1,0.5709228395072233,0.2965646865882635,-1,0.1619128743838767,0.2055613945242296,-1,-1,0.24665224190838142,-1,0.1727916042501476,-1,-1,0.09431145275335462,0.13886053435516776,-1
scored,0.36361348011967665,-1,-1,0.14551115729685893,0.42889201042622227,-1,0.4472175411591617,-1,0.410061765250312,-1,-1,0.452821772775198,0.4015156792431507,0.4132133588409739,-1,0.4877125798297055,0.06349204803106223,-1,0.3155701095549973,0.44533296525690536,-1,-1,0.565803609367281,-1,0.2835737278736652,-1,-1,0.35118943033612304,0.2872288028313348,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
superb,0.1390793800805077,-1,-1,0.3379097780486977,0.4633797342786725,-1,0.26653601371146496,-1,0.37572342543192117,-1,-1,0.3917965167531976,0.31409589843255836,0.4407424573509765,-1,0.22260482524987824,0.04134956612786589,-1,0.6072586349393846,0.7347506315427598,-1,-1,0.49352491568018964,-1,0.24776887614791954,-1,-1,0.29602916874407037,0.3572601633304311,-1
hat-trick,0.24262884632986437,-1,-1,0.16146247554501802,0.39118153458151284,-1,0.37580252453229,-1,0.3797400547658757,-1,-1,0.4558256739923454,0.34609801271243756,0.3767592193471804,-1,0.31526139620311744,0.0674363154943205,-1,0.36049472166984553,0.4861636702090121,-1,-1,0.5645226431591426,-1,0.32551206527727405,-1,-1,0.24104581252380797,0.28513157529113253,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dover,0.5924508066486964,-1,-1,-0.0271366058858995,0.1315512648525906,-1,0.13333145136174562,-1,0.13055874098288933,-1,-1,0.2029833542070294,0.11998275647042012,0.16212665184462838,-1,0.5805825871249534,0.36935671572566453,-1,0.17219512743010945,0.14944871045231534,-1,-1,0.25226327847102537,-1,0.012740636680983353,-1,-1,0.09906179654379454,-0.03224115307797004,-1
made,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,0.3049412058066163,-1,-1,0.2582534917577156,0.490605103565797,-1,0.5496135788167545,-1,0.45104908775297237,-1,-1,0.49947136977511586,0.3675056598208103,0.3968890450168321,-1,0.318297756742834,0.08389969664957475,-1,0.2606190837559629,0.3190553721182967,-1,-1,0.4987545221782159,-1,0.37735943183919396,-1,-1,0.384935648650484,0.5133842296443456,-1
wins,0.7807765040027451,-1,-1,0.1055858373407581,0.30026523921458237,-1,0.3981510110703046,-1,0.2858598254543886,-1,-1,0.417287555438393,0.258747554236083,0.33058127738549414,-1,0.44465946036046233,0.05560094415537853,-1,0.3357895753848821,0.29297248636531414,-1,-1,0.32907576097551783,-1,0.15428326980961393,-1,-1,0.2952152905418052,0.29230777129932206,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bounce,0.08227918514373844,-1,-1,0.3362534108980406,0.42079196968683186,-1,0.19756972504487058,-1,0.2869202466383429,-1,-1,0.3503401134219073,0.3112218986522366,0.4450054130856682,-1,0.10218733073409658,0.05921197708841475,-1,0.26751691074256967,0.2806668346259521,-1,-1,0.38253462801130533,-1,0.41825622221404535,-1,-1,0.24397368175559553,0.2678936534163683,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
