model,miller,was,in,the,right,place,to,convert,a,cross,from,aswad,thomas,and,the,striker,added,a,second,early,in,the,second,half,with,a,coolly-taken,penalty,.
ricky,0.6553121234490649,-1,-1,-1,0.14728389907681305,0.005716718984635327,-1,0.16217308223019067,-1,0.30924966417658584,-1,-0.008598295692721969,0.36192937057694863,-1,-1,0.26360666645551567,0.23946265185741544,-1,0.1333672150111297,0.04534795729696517,-1,-1,0.1333672150111297,0.14662355686474693,-1,-1,-0.26495900820033613,0.2007822178150901,-1
miller,1.0,-1,-1,-1,0.33790314288105205,0.11744935143060009,-1,0.1306295116973033,-1,0.30003220062654645,-1,0.18308433620018505,0.7171847563759676,-1,-1,0.4242414606236462,0.4165493722603839,-1,0.2759132384350934,0.15940955902439136,-1,-1,0.2759132384350934,0.3204334008648836,-1,-1,-0.2796270191267023,0.2983872408011614,-1
scored,0.3836019998379505,-1,-1,-1,0.29111100532242995,0.26342049678759727,-1,0.3094299526768439,-1,0.3452184549736288,-1,-0.0524764095429715,0.530636185661718,-1,-1,0.6423103753220385,0.46253550591098636,-1,0.5068671153991152,0.39210544585938933,-1,-1,0.5068671153991152,0.5754469687423316,-1,-1,-0.18351189346653785,0.5373305200664953,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
superb,0.1827540808750402,-1,-1,-1,0.2815429353019432,0.2226286891851641,-1,0.31618503382790086,-1,0.5544911532914076,-1,-0.3392775216288648,0.19232954982048944,-1,-1,0.290891197931858,0.283445588965753,-1,0.4291433526202886,0.35132155128577347,-1,-1,0.4291433526202886,0.3992767714900294,-1,-1,0.04699274550743848,0.5314972896867703,-1
hat-trick,0.27025875751548933,-1,-1,-1,0.14295091465751386,0.16333270408499145,-1,0.3526004531493321,-1,0.30716473963014623,-1,-0.15344113145697813,0.29102113731111423,-1,-1,0.49107807397002745,0.18925095493214905,-1,0.47074422179047115,0.34055936989333224,-1,-1,0.47074422179047115,0.4220065007565992,-1,-1,-0.028899073645182627,0.4759159043242295,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dover,0.4885063506277143,-1,-1,-1,0.3956697758631087,0.11413253299122239,-1,0.16287073688700848,-1,0.2486159394750681,-1,0.24208752728288951,0.3870164628057451,-1,-1,0.38721168314004195,0.12347285281208009,-1,0.32349256690726746,0.08224777166675956,-1,-1,0.32349256690726746,0.5335860685327328,-1,-1,-0.3117123900759011,0.21616582418906694,-1
made,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,0.24362001867925176,-1,-1,-1,0.3490796555147918,0.4486106228848634,-1,0.3686928739673875,-1,0.3514609922805896,-1,-0.42850005716042405,0.3510096557492183,-1,-1,0.36172863309881653,0.481376656761459,-1,0.510497532493948,0.4147680677690777,-1,-1,0.510497532493948,0.5441482620938348,-1,-1,-0.4340072786963416,0.38585839505713104,-1
wins,0.33602158399680326,-1,-1,-1,0.6747546908317489,0.32248619714851845,-1,0.229239181047191,-1,0.35222858819990044,-1,-0.00993567339616952,0.47209610995535156,-1,-1,0.4621719779667708,0.30301514779839134,-1,0.5095165585467154,0.2205944312245216,-1,-1,0.5095165585467154,0.7912892781867871,-1,-1,-0.13661448853133495,0.4923465311370214,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bounce,0.1280033664427378,-1,-1,-1,0.31397571323751583,0.23751768089356307,-1,0.25453418148249174,-1,0.3172866928285756,-1,-0.3299281585280831,0.05921709758620475,-1,-1,0.17260533553487023,0.21139334395214993,-1,0.2403381041816397,0.19865590391564136,-1,-1,0.2403381041816397,0.25381241311474767,-1,-1,-0.21259403577285663,0.25477719421458,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
thrilling,0.02676243255044275,-1,-1,-1,0.1602004104130268,0.3623637201908013,-1,0.17695408420922976,-1,0.17104573167940196,-1,-0.3144583412150286,0.03186823376628001,-1,-1,0.03709194231989643,0.06657563928529198,-1,0.42003152083558903,0.14912532845608084,-1,-1,0.42003152083558903,0.3134021372022371,-1,-1,-0.01826064614146361,0.3231761369964635,-1
victory,0.20184027589904185,-1,-1,-1,0.3140635693542999,0.4722407164222836,-1,0.2184835878823571,-1,0.26549454636333025,-1,-0.2671133686373559,0.29032555029790186,-1,-1,0.26221050854316275,0.3465853729364978,-1,0.5307079081190952,0.273077926498291,-1,-1,0.5307079081190952,0.4756536912776397,-1,-1,-0.1368378848112397,0.4259735820807413,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
national,0.16508050935558383,-1,-1,-1,0.31850774042135677,0.2934318614938407,-1,0.09652219451589938,-1,0.2236679801778585,-1,-0.27825317950764616,0.23610876808163017,-1,-1,0.1719334504646448,0.3359928164455126,-1,0.31288918193137594,0.1953874115945493,-1,-1,0.31288918193137594,0.3329649537343444,-1,-1,-0.34188590757398085,0.1388923356417604,-1
league,0.12325159482203074,-1,-1,-1,0.3831932891901152,0.43629940177638094,-1,0.3523239080707512,-1,0.193545543197142,-1,-0.27600744950069744,0.31484777943528,-1,-1,0.42133815269123,0.3617739187880509,-1,0.5232698350284973,0.30328527327846944,-1,-1,0.5232698350284973,0.5195915052072541,-1,-1,-0.31240915170986217,0.2533675422550379,-1
leaders,0.16553715609363162,-1,-1,-1,0.3582066703259802,0.3650259843324939,-1,0.31385885738520114,-1,0.1848150325161101,-1,-0.19983885738691942,0.3186739252495079,-1,-1,0.3409803707919965,0.3133770727973645,-1,0.3481616833158041,0.2744580200588399,-1,-1,0.3481616833158041,0.33051451686760447,-1,-1,-0.40653516196557904,0.12224798253702629,-1
forest,0.4330651572906177,-1,-1,-1,0.5695359963432421,0.34840877692268046,-1,0.22779872630646802,-1,0.41265949958360215,-1,-0.10659876904316179,0.5466649135945781,-1,-1,0.5384489851340855,0.3454045808423535,-1,0.4803446780706153,0.25150740778488656,-1,-1,0.4803446780706153,0.6463869559255506,-1,-1,-0.3512637664898084,0.3540410223780105,-1
green,0.6058079537470237,-1,-1,-1,0.6086006409879229,0.3546821183742511,-1,0.22110512082599953,-1,0.47353124332897,-1,-0.11998144188969562,0.6783348414959115,-1,-1,0.49869386881666766,0.5417690290234396,-1,0.48480410856110456,0.2980386978716143,-1,-1,0.48480410856110456,0.563210223199706,-1,-1,-0.4445407359504241,0.3339341627168245,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
