model,loui,fazackerley,replaces,sammy,moore,.
ricky,-0.12420810126186987,-0.05136000484216652,0.3766494727860974,0.8755142942601348,0.5630672432238576,-1
miller,-0.2860773837465713,-0.22392677902920077,0.4783373447591075,0.5190865888404891,0.8966383003696967,-1
scored,-0.42369337330328616,-0.40198472412462727,0.28438375206152244,0.12190109802331062,0.4344029271667551,-1
a,-1,-1,-1,-1,-1,-1
superb,-0.35155764315781557,-0.3747219343280963,0.10028627681816404,0.055742954672596046,0.20514838181349637,-1
hat-trick,-0.34655851875136356,-0.3983236308192313,0.0767060647621779,0.0772942990579315,0.3169591820343485,-1
as,-1,-1,-1,-1,-1,-1
dover,-0.23688545931617933,-0.24362568518804073,0.4525281758769135,0.4431273085502303,0.41805287904694155,-1
made,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1
two,-0.6438814754753941,-0.5837724156403545,0.0013216396146799037,0.0853220560035175,0.29401139967748935,-1
wins,-0.4634758435207389,-0.473588105130758,0.4495561916163986,0.17726208747183692,0.3184713604021885,-1
on,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1
bounce,-0.34819723389822443,-0.30813848333127014,-0.022946483644750826,-0.014671721018149286,0.08592580140675354,-1
with,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1
thrilling,-0.32164466499116484,-0.3757994671925551,-0.11541004024373147,-0.006876846807140513,0.06464624760771254,-1
victory,-0.46842314790241235,-0.5106703864489315,0.03062552089510584,0.09791940904268237,0.25489625771505975,-1
over,-1,-1,-1,-1,-1,-1
national,-0.52161675258386,-0.5320214819638895,0.04262196220165926,0.10426210068000819,0.20749410959859793,-1
league,-0.5202370877747793,-0.5977698118420647,-0.04869205374288077,0.04898143510730257,0.20949274043903543,-1
leaders,-0.5346974669684728,-0.5224618710442872,-0.09494147947857434,0.05826410342178434,0.22602837736794013,-1
forest,-0.49797707995160856,-0.49092265695627635,0.3829053639643627,0.33071565510068657,0.49478865133779926,-1
green,-0.5998983994075098,-0.5284325853765304,0.4198466767183582,0.4152984091886066,0.6353305600483546,-1
.,-1,-1,-1,-1,-1,-1
