model,kieffer,moore,replaces,rhys,murphy,.
ricky,-0.20712111509891806,0.5630672432238576,0.3766494727860974,0.4484358165271669,0.6920653679182335,-1
miller,0.19023385736035858,0.8966383003696967,0.4783373447591075,0.4375362935265463,0.7624863042638242,-1
scored,-0.04400706319949799,0.4344029271667551,0.28438375206152244,0.2614404155749348,0.43495364979348117,-1
a,-1,-1,-1,-1,-1,-1
superb,-0.05327102883805224,0.20514838181349637,0.10028627681816404,0.07745263103583522,0.17330885325768242,-1
hat-trick,-0.03241986582147116,0.3169591820343485,0.0767060647621779,0.09354022225500158,0.2494997279422475,-1
as,-1,-1,-1,-1,-1,-1
dover,-0.15618097713299983,0.41805287904694155,0.4525281758769135,0.28685156958209057,0.5933577933572489,-1
made,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1
two,-0.13996653397193226,0.29401139967748935,0.0013216396146799037,0.050428823357636654,0.28585979502359327,-1
wins,-0.005626996936378248,0.3184713604021885,0.4495561916163986,0.2783056078044124,0.43962071998399166,-1
on,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1
bounce,-0.07239399333069407,0.08592580140675354,-0.022946483644750826,-0.07832167091511977,0.08029579583175184,-1
with,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1
thrilling,-0.07655362384920883,0.06464624760771254,-0.11541004024373147,-0.05785915461631386,0.04467734569934345,-1
victory,-0.06565179021933876,0.25489625771505975,0.03062552089510584,0.08643522756883648,0.27821249684965577,-1
over,-1,-1,-1,-1,-1,-1
national,-0.0739534037140035,0.20749410959859793,0.04262196220165926,0.08572421856048251,0.24319006403124233,-1
league,-0.09050746594345904,0.20949274043903543,-0.04869205374288077,0.04553166394177943,0.22378281152314705,-1
leaders,-0.11042666024259074,0.22602837736794013,-0.09494147947857434,0.09901335380727172,0.2364662613537274,-1
forest,0.04544114393920162,0.49478865133779926,0.3829053639643627,0.3685798638139359,0.5682035142260408,-1
green,0.03933047304961812,0.6353305600483546,0.4198466767183582,0.44614558238850344,0.7007652148438963,-1
.,-1,-1,-1,-1,-1,-1
