model,substitution,dover,athletic,.
ricky,0.3675705360101308,0.537069268771844,0.4023153476175738,-1
miller,0.38700936480377124,0.4885063506277143,0.3758830411746438,-1
scored,0.3683283278727746,0.2861863454253436,0.27225089756723286,-1
a,-1,-1,-1,-1
superb,0.12920772053874185,0.07389746425056953,0.1423995958374733,-1
hat-trick,0.1693685062437944,0.21324806914760408,0.20117668046581438,-1
as,-1,-1,-1,-1
dover,0.6446625234338157,1.0,0.8529382578673381,-1
made,-1,-1,-1,-1
it,-1,-1,-1,-1
two,0.11398578113951296,0.14767515750406957,0.18737805315072564,-1
wins,0.6272814977867434,0.6011382594232453,0.7402733606703219,-1
on,-1,-1,-1,-1
the,-1,-1,-1,-1
bounce,-0.011088210785001218,0.11612413382623044,0.06940203462015426,-1
with,-1,-1,-1,-1
a,-1,-1,-1,-1
thrilling,-0.029624081890430753,0.10714969350148174,0.1098655694182421,-1
victory,0.15622935222013767,0.23559619209029925,0.24640400301355725,-1
over,-1,-1,-1,-1
national,0.11834307768282559,0.19878050208495313,0.28462178020420703,-1
league,0.19571622520683085,0.29708570400993284,0.4109924913457905,-1
leaders,0.05145595152647375,0.17336505408871428,0.21272000201298524,-1
forest,0.6037914675151996,0.6736060464335427,0.7341629189457309,-1
green,0.5131967085084549,0.5080605642886042,0.5341790567589545,-1
.,-1,-1,-1,-1
