model,the,see-saw,nature,of,the,contest,continued,as,rovers,equalised,through,rhys,murphy,before,ross,lafayette,restored,dover,'s,advantage,with,a,smart,finish,in,the,68th,minute,.
ricky,-1,-0.17846543667076098,0.05293818634148861,-1,-1,0.03494698368899962,0.08161161069500078,-1,0.10582856498568494,0.14894000338310442,0.1431557470381355,0.4484358165271669,0.6920653679182335,-1,0.42772730801911796,0.41757098476027854,0.12776405461761453,0.537069268771844,-1,0.08297979735995387,-1,-1,0.19189106264678935,0.007374769527985214,-1,-1,-0.04905014681668751,0.10661295228223489,-1
miller,-1,-0.3142197210818616,-0.01100832876802027,-1,-1,0.13458455401522085,0.1952526181631169,-1,0.23454158443609174,0.25938677675062427,0.20871658468979193,0.4375362935265463,0.7624863042638242,-1,0.6806058333315264,0.5002617633933071,0.1427414981281906,0.4885063506277143,-1,0.1477134799857438,-1,-1,0.10991957154265142,0.10552909749099715,-1,-1,-0.17745140603160792,0.13576371262536968,-1
scored,-1,-0.23572825277315368,-0.059820735203969244,-1,-1,0.25757350199869955,0.3130941298370631,-1,0.36361348011967665,0.49951391128861045,0.34814828931052766,0.2614404155749348,0.43495364979348117,-1,0.5278290847504409,0.09582836894875324,0.219043762061234,0.2861863454253436,-1,0.30601544916957835,-1,-1,0.15510208759273225,0.4542534782230253,-1,-1,0.01884933030420921,0.4015156792431507,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
superb,-1,0.023714424147739388,0.2017558596800011,-1,-1,0.2354400993778747,0.28560772259508926,-1,0.1390793800805077,0.31722982262986954,0.3864128237283868,0.07745263103583522,0.17330885325768242,-1,0.20167076191950517,-0.06401558422382614,0.33337936369031185,0.07389746425056953,-1,0.3651449395117893,-1,-1,0.43844102766800574,0.627304552301033,-1,-1,0.06999847472533405,0.31409589843255836,-1
hat-trick,-1,0.05965631068956234,0.01658579657531767,-1,-1,0.28436245057412934,0.3095173415039225,-1,0.24262884632986437,0.4074327793383419,0.23132925337174925,0.09354022225500158,0.2494997279422475,-1,0.3598719431271006,0.13902800692002482,0.3038399443434987,0.21324806914760408,-1,0.41255926947538035,-1,-1,0.1784324881561843,0.4146520647188343,-1,-1,0.15507026467233376,0.34609801271243756,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dover,-1,-0.09414743571968498,-0.008878491929522392,-1,-1,0.07300471049853952,0.023338487997355606,-1,0.5924508066486964,0.21865175721960628,0.11827273488339896,0.28685156958209057,0.5933577933572489,-1,0.665257248327488,0.6055928366548963,0.12442373857305211,1.0,-1,0.09790367894025043,-1,-1,0.10530353884340027,0.06544652323471711,-1,-1,-0.11502784627874174,0.11998275647042012,-1
made,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,-1,-0.21939232625536698,0.22687995723971022,-1,-1,0.3238179533116381,0.3616096888071554,-1,0.3049412058066163,0.34135052624117357,0.472745669859741,0.050428823357636654,0.28585979502359327,-1,0.29856663066488065,-0.23291148607969325,0.26773310643358483,0.14767515750406957,-1,0.38746868454148586,-1,-1,0.26660480119064145,0.38062936631176614,-1,-1,-0.0021074316181193264,0.3675056598208103,-1
