model,tyrone,sterling,replaces,sam,magri,.
ricky,0.644999520366002,0.07164586931352213,0.3766494727860974,0.6044439533889511,0.6591875987313197,-1
miller,0.7741701737886763,0.007694885390859163,0.4783373447591075,0.6292029485893875,0.2887206912487309,-1
scored,0.2333205936326237,0.32283984599615856,0.28438375206152244,0.46310147415726965,-0.042584481048628,-1
a,-1,-1,-1,-1,-1,-1
superb,0.08454196864431962,0.15053765314323497,0.10028627681816404,0.3165194231079813,-0.05925916209224402,-1
hat-trick,0.24140608913853523,0.2816504415159925,0.0767060647621779,0.29465596443420194,-0.05629683110654393,-1
as,-1,-1,-1,-1,-1,-1
dover,0.5689233433802767,0.47986737903803023,0.4525281758769135,0.5372561039817968,0.3697758889659053,-1
made,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1
two,0.20479255566344023,0.23945260348338682,0.0013216396146799037,0.26526267708845963,-0.13406680432371587,-1
wins,0.2404318487338537,0.28388224787475513,0.4495561916163986,0.46770665069822126,0.02136021620337658,-1
on,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1
bounce,0.13903920763539535,0.13184599781377582,-0.022946483644750826,0.09920901555729611,-0.06511842905104515,-1
with,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1
thrilling,0.07917659998127635,0.16876406459355775,-0.11541004024373147,0.11020428001908344,-0.08412834486978826,-1
victory,0.18187823676042192,0.26280698832447424,0.03062552089510584,0.291253162048409,-0.07372098591371201,-1
over,-1,-1,-1,-1,-1,-1
national,0.16375337359451547,0.23539244144626637,0.04262196220165926,0.15453323554872678,-0.09983188421798461,-1
league,0.18603320254814448,0.2674972779703769,-0.04869205374288077,0.20124987760174573,-0.12735477106650284,-1
leaders,0.1517049453045891,0.283659380510902,-0.09494147947857434,0.09499229525618735,-0.1386372571565011,-1
forest,0.38461003944274585,0.36902931384274273,0.3829053639643627,0.5059095679269572,0.018002065705608583,-1
green,0.40180013663963265,0.31667267260269216,0.4198466767183582,0.5544372083444598,0.03653279663527864,-1
.,-1,-1,-1,-1,-1,-1
