model,substitution,forest,green,rovers,.
ricky,0.3675705360101308,0.34310517229243,0.40314494854424776,0.10582856498568494,-1
miller,0.38700936480377124,0.4330651572906177,0.6058079537470237,0.23454158443609174,-1
scored,0.3683283278727746,0.35400336721561476,0.3310216029467449,0.36361348011967665,-1
a,-1,-1,-1,-1,-1
superb,0.12920772053874185,0.14784653837775874,0.19360748051895937,0.1390793800805077,-1
hat-trick,0.1693685062437944,0.24892183919993238,0.17712651778627464,0.24262884632986437,-1
as,-1,-1,-1,-1,-1
dover,0.6446625234338157,0.6736060464335427,0.5080605642886042,0.5924508066486964,-1
made,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1
two,0.11398578113951296,0.41791851542884506,0.41338993220989273,0.3049412058066163,-1
wins,0.6272814977867434,0.7451097679808052,0.6194968846491464,0.7807765040027451,-1
on,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1
bounce,-0.011088210785001218,0.13261901913412555,0.16191444109389208,0.08227918514373844,-1
with,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1
thrilling,-0.029624081890430753,0.19995215383722986,0.09698797735008502,0.1476585519249769,-1
victory,0.15622935222013767,0.42058804217456136,0.3436706854306508,0.35638960673129083,-1
over,-1,-1,-1,-1,-1
national,0.11834307768282559,0.4189501092623382,0.44804188945890044,0.27094415201741096,-1
league,0.19571622520683085,0.5799638824710401,0.40608101974251287,0.49905660953115927,-1
leaders,0.05145595152647375,0.4609565794342234,0.46830886674538497,0.36706163211429155,-1
forest,0.6037914675151996,1.0,0.8026768370063821,0.8045231234682092,-1
green,0.5131967085084549,0.8026768370063821,1.0,0.6029221648244867,-1
.,-1,-1,-1,-1,-1
