model,christian,doidge,replaces,matt,tubbs,.
ricky,0.38075461167449176,-0.5421241992790833,0.3766494727860974,0.43486283913981927,0.2555127627013998,-1
miller,0.28838222408079983,-0.19026175742949802,0.4783373447591075,0.3827054441398595,0.05020522828815843,-1
scored,0.28422927186962543,-0.0048011972301977845,0.28438375206152244,0.3547609737306605,0.022359901580955688,-1
a,-1,-1,-1,-1,-1,-1
superb,0.21346963288902976,0.0028122589659271835,0.10028627681816404,0.2319617559911974,-0.0594668897430648,-1
hat-trick,0.21656251209418975,-0.021799008936599806,0.0767060647621779,0.19260004023041177,-0.03587502420129085,-1
as,-1,-1,-1,-1,-1,-1
dover,0.350576191201149,-0.2579059019472729,0.4525281758769135,0.45182398306511884,0.22168178669658867,-1
made,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1
two,0.3628780541108323,-0.03652334769887977,0.0013216396146799037,0.2087998098931727,-0.19675214531514085,-1
wins,0.39491819542201334,0.01811867819451929,0.4495561916163986,0.3939009412860004,0.0336668268699194,-1
on,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1
bounce,-0.024046436188728704,-0.04560908513346873,-0.022946483644750826,0.138895796584658,-0.07152316702333561,-1
with,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1
thrilling,0.01932750533860783,-0.01531288577561396,-0.11541004024373147,-0.0224443486783108,-0.1623593319467449,-1
victory,0.2229536324194994,-0.009749610576408996,0.03062552089510584,0.1610899637005243,-0.11746300229202888,-1
over,-1,-1,-1,-1,-1,-1
national,0.3387686322752754,0.003731554877328569,0.04262196220165926,0.06691270269515859,-0.21456606612038165,-1
league,0.2710530162300825,-0.0019137531211554926,-0.04869205374288077,0.16756331882125075,-0.12498861930504379,-1
leaders,0.4054518536845355,-0.02339416420317919,-0.09494147947857434,0.09151964860622308,-0.19730897181406393,-1
forest,0.5311586383554323,0.006828413554506252,0.3829053639643627,0.45045640491852956,0.04490712834662747,-1
green,0.5948213948367626,-0.02276319505405411,0.4198466767183582,0.44853777963110386,-0.023931548012508852,-1
.,-1,-1,-1,-1,-1,-1
