model,aswad,thomas,-lrb-,dover,athletic,-rrb-,is,shown,the,yellow,card,.
ricky,-0.008598295692721969,0.36192937057694863,-1,0.537069268771844,0.4023153476175738,-1,-1,0.2238432201504521,-1,0.2988231970623558,0.263400321427371,-1
miller,0.18308433620018505,0.7171847563759676,-1,0.4885063506277143,0.3758830411746438,-1,-1,0.33000026709631025,-1,0.27667826963977027,0.24058068230497387,-1
scored,-0.0524764095429715,0.530636185661718,-1,0.2861863454253436,0.27225089756723286,-1,-1,0.3421044427957466,-1,0.2979376198935675,0.23563960227415515,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
superb,-0.3392775216288648,0.19232954982048944,-1,0.07389746425056953,0.1423995958374733,-1,-1,0.3388490843980836,-1,0.42727565402587253,0.4245581644094857,-1
hat-trick,-0.15344113145697813,0.29102113731111423,-1,0.21324806914760408,0.20117668046581438,-1,-1,0.19625321618089142,-1,0.2602772158595248,0.2451808731568781,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dover,0.24208752728288951,0.3870164628057451,-1,1.0,0.8529382578673381,-1,-1,0.38221249016170966,-1,0.396958446611716,0.3107611649796995,-1
made,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,-0.42850005716042405,0.3510096557492183,-1,0.14767515750406957,0.18737805315072564,-1,-1,0.34811918214249926,-1,0.27840039532119487,0.2206444816105655,-1
wins,-0.00993567339616952,0.47209610995535156,-1,0.6011382594232453,0.7402733606703219,-1,-1,0.5507571166510382,-1,0.5445051965538132,0.4826947856941901,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bounce,-0.3299281585280831,0.05921709758620475,-1,0.11612413382623044,0.06940203462015426,-1,-1,0.17305181009879833,-1,0.14312601688575632,0.12683319918958913,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
thrilling,-0.3144583412150286,0.03186823376628001,-1,0.10714969350148174,0.1098655694182421,-1,-1,0.15572521216921786,-1,0.18597265084610393,0.22770596656633568,-1
victory,-0.2671133686373559,0.29032555029790186,-1,0.23559619209029925,0.24640400301355725,-1,-1,0.26788586120652425,-1,0.24837275873940623,0.2648808374150968,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
national,-0.27825317950764616,0.23610876808163017,-1,0.19878050208495313,0.28462178020420703,-1,-1,0.37885584758986224,-1,0.34411350797599205,0.33556579797166664,-1
league,-0.27600744950069744,0.31484777943528,-1,0.29708570400993284,0.4109924913457905,-1,-1,0.27833071677234056,-1,0.20376363671909392,0.17471717199226022,-1
leaders,-0.19983885738691942,0.3186739252495079,-1,0.17336505408871428,0.21272000201298524,-1,-1,0.14115767820139258,-1,0.001836021312834113,-0.0027337321615292787,-1
forest,-0.10659876904316179,0.5466649135945781,-1,0.6736060464335427,0.7341629189457309,-1,-1,0.5437443922079859,-1,0.5016869581356729,0.4386608029021497,-1
green,-0.11998144188969562,0.6783348414959115,-1,0.5080605642886042,0.5341790567589545,-1,-1,0.5527267859490058,-1,0.5292330527351826,0.46495985627171954,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
