model,rhys,murphy,-lrb-,forest,green,rovers,-rrb-,.
ricky,0.4484358165271669,0.6920653679182335,-1,0.34310517229243,0.40314494854424776,0.10582856498568494,-1,-1
miller,0.4375362935265463,0.7624863042638242,-1,0.4330651572906177,0.6058079537470237,0.23454158443609174,-1,-1
scored,0.2614404155749348,0.43495364979348117,-1,0.35400336721561476,0.3310216029467449,0.36361348011967665,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1
superb,0.07745263103583522,0.17330885325768242,-1,0.14784653837775874,0.19360748051895937,0.1390793800805077,-1,-1
hat-trick,0.09354022225500158,0.2494997279422475,-1,0.24892183919993238,0.17712651778627464,0.24262884632986437,-1,-1
as,-1,-1,-1,-1,-1,-1,-1,-1
dover,0.28685156958209057,0.5933577933572489,-1,0.6736060464335427,0.5080605642886042,0.5924508066486964,-1,-1
made,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1
two,0.050428823357636654,0.28585979502359327,-1,0.41791851542884506,0.41338993220989273,0.3049412058066163,-1,-1
wins,0.2783056078044124,0.43962071998399166,-1,0.7451097679808052,0.6194968846491464,0.7807765040027451,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1
bounce,-0.07832167091511977,0.08029579583175184,-1,0.13261901913412555,0.16191444109389208,0.08227918514373844,-1,-1
with,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1
thrilling,-0.05785915461631386,0.04467734569934345,-1,0.19995215383722986,0.09698797735008502,0.1476585519249769,-1,-1
victory,0.08643522756883648,0.27821249684965577,-1,0.42058804217456136,0.3436706854306508,0.35638960673129083,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1
national,0.08572421856048251,0.24319006403124233,-1,0.4189501092623382,0.44804188945890044,0.27094415201741096,-1,-1
league,0.04553166394177943,0.22378281152314705,-1,0.5799638824710401,0.40608101974251287,0.49905660953115927,-1,-1
leaders,0.09901335380727172,0.2364662613537274,-1,0.4609565794342234,0.46830886674538497,0.36706163211429155,-1,-1
forest,0.3685798638139359,0.5682035142260408,-1,1.0,0.8026768370063821,0.8045231234682092,-1,-1
green,0.44614558238850344,0.7007652148438963,-1,0.8026768370063821,1.0,0.6029221648244867,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1
