model,ricky,miller,-lrb-,dover,athletic,-rrb-,converts,the,penalty,with,a.,second,half,begins,dover,athletic,1,forest,green,rovers,1,.
ricky,1.0,0.6553121234490649,-1,0.537069268771844,0.4023153476175738,-1,0.34080730404685156,-1,0.2007822178150901,-1,-0.6058240486632793,0.1333672150111297,0.14662355686474693,0.08827376911609108,0.537069268771844,0.4023153476175738,-1,0.34310517229243,0.40314494854424776,0.10582856498568494,-1,-1
miller,0.6553121234490649,1.0,-1,0.4885063506277143,0.3758830411746438,-1,0.6525316852461511,-1,0.2983872408011614,-1,-0.2632978947202578,0.2759132384350934,0.3204334008648836,0.16957126245002074,0.4885063506277143,0.3758830411746438,-1,0.4330651572906177,0.6058079537470237,0.23454158443609174,-1,-1
scored,0.15169262935119332,0.3836019998379505,-1,0.2861863454253436,0.27225089756723286,-1,0.37539532915784335,-1,0.5373305200664953,-1,0.027646817486592257,0.5068671153991152,0.5754469687423316,0.3804145595836359,0.2861863454253436,0.27225089756723286,-1,0.35400336721561476,0.3310216029467449,0.36361348011967665,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
superb,0.15141173685688936,0.1827540808750402,-1,0.07389746425056953,0.1423995958374733,-1,0.3227425454953432,-1,0.5314972896867703,-1,0.006644483904622134,0.4291433526202886,0.3992767714900294,0.28301304591063514,0.07389746425056953,0.1423995958374733,-1,0.14784653837775874,0.19360748051895937,0.1390793800805077,-1,-1
hat-trick,0.14078687308769378,0.27025875751548933,-1,0.21324806914760408,0.20117668046581438,-1,0.28985263618985335,-1,0.4759159043242295,-1,-0.002979267072553471,0.47074422179047115,0.4220065007565992,0.3825109798855615,0.21324806914760408,0.20117668046581438,-1,0.24892183919993238,0.17712651778627464,0.24262884632986437,-1,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dover,0.537069268771844,0.4885063506277143,-1,1.0,0.8529382578673381,-1,0.38030191135378555,-1,0.21616582418906694,-1,-0.22641444865696658,0.32349256690726746,0.5335860685327328,0.5293439077713142,1.0,0.8529382578673381,-1,0.6736060464335427,0.5080605642886042,0.5924508066486964,-1,-1
made,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,0.07555243893543429,0.24362001867925176,-1,0.14767515750406957,0.18737805315072564,-1,0.34135642233022156,-1,0.38585839505713104,-1,-0.02044454459065914,0.510497532493948,0.5441482620938348,0.3364693247052135,0.14767515750406957,0.18737805315072564,-1,0.41791851542884506,0.41338993220989273,0.3049412058066163,-1,-1
wins,0.1843182869153558,0.33602158399680326,-1,0.6011382594232453,0.7402733606703219,-1,0.5988709026120876,-1,0.4923465311370214,-1,0.031841315609665743,0.5095165585467154,0.7912892781867871,0.5799845081618153,0.6011382594232453,0.7402733606703219,-1,0.7451097679808052,0.6194968846491464,0.7807765040027451,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bounce,0.08694259618693911,0.1280033664427378,-1,0.11612413382623044,0.06940203462015426,-1,0.21863742751981685,-1,0.25477719421458,-1,-0.0472068548114557,0.2403381041816397,0.25381241311474767,0.1364915205751167,0.11612413382623044,0.06940203462015426,-1,0.13261901913412555,0.16191444109389208,0.08227918514373844,-1,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
thrilling,0.030364810686594246,0.02676243255044275,-1,0.10714969350148174,0.1098655694182421,-1,0.17569063040849975,-1,0.3231761369964635,-1,-0.004841836152115642,0.42003152083558903,0.3134021372022371,0.395006469667445,0.10714969350148174,0.1098655694182421,-1,0.19995215383722986,0.09698797735008502,0.1476585519249769,-1,-1
victory,0.09351840398042854,0.20184027589904185,-1,0.23559619209029925,0.24640400301355725,-1,0.29470972804458473,-1,0.4259735820807413,-1,-0.00032953823515335934,0.5307079081190952,0.4756536912776397,0.446945302164794,0.23559619209029925,0.24640400301355725,-1,0.42058804217456136,0.3436706854306508,0.35638960673129083,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
national,0.02348072226543696,0.16508050935558383,-1,0.19878050208495313,0.28462178020420703,-1,0.22711777748837259,-1,0.1388923356417604,-1,0.021116318850740168,0.31288918193137594,0.3329649537343444,0.29446032599781824,0.19878050208495313,0.28462178020420703,-1,0.4189501092623382,0.44804188945890044,0.27094415201741096,-1,-1
league,-0.005618346140239483,0.12325159482203074,-1,0.29708570400993284,0.4109924913457905,-1,0.3197818709372401,-1,0.2533675422550379,-1,0.016794475984743817,0.5232698350284973,0.5195915052072541,0.44636879005196717,0.29708570400993284,0.4109924913457905,-1,0.5799638824710401,0.40608101974251287,0.49905660953115927,-1,-1
leaders,-0.04039055041431139,0.16553715609363162,-1,0.17336505408871428,0.21272000201298524,-1,0.19283865843177073,-1,0.12224798253702629,-1,0.006880229261042925,0.3481616833158041,0.33051451686760447,0.20694507858855993,0.17336505408871428,0.21272000201298524,-1,0.4609565794342234,0.46830886674538497,0.36706163211429155,-1,-1
forest,0.34310517229243,0.4330651572906177,-1,0.6736060464335427,0.7341629189457309,-1,0.5367835876479669,-1,0.3540410223780105,-1,-0.00015598304576847077,0.4803446780706153,0.6463869559255506,0.5457461117342429,0.6736060464335427,0.7341629189457309,-1,1.0,0.8026768370063821,0.8045231234682092,-1,-1
green,0.40314494854424776,0.6058079537470237,-1,0.5080605642886042,0.5341790567589545,-1,0.5454438690957091,-1,0.3339341627168245,-1,-0.030369004052310578,0.48480410856110456,0.563210223199706,0.4385898135376247,0.5080605642886042,0.5341790567589545,-1,0.8026768370063821,1.0,0.6029221648244867,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
