model,liam,noble,-lrb-,forest,green,rovers,-rrb-,is,shown,the,yellow,card,.
ricky,0.5018667344249996,0.6576003401227228,-1,0.34310517229243,0.40314494854424776,0.10582856498568494,-1,-1,0.2238432201504521,-1,0.2988231970623558,0.263400321427371,-1
miller,0.5709228395072233,0.2965646865882635,-1,0.4330651572906177,0.6058079537470237,0.23454158443609174,-1,-1,0.33000026709631025,-1,0.27667826963977027,0.24058068230497387,-1
scored,0.4877125798297055,0.06349204803106223,-1,0.35400336721561476,0.3310216029467449,0.36361348011967665,-1,-1,0.3421044427957466,-1,0.2979376198935675,0.23563960227415515,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
superb,0.22260482524987824,0.04134956612786589,-1,0.14784653837775874,0.19360748051895937,0.1390793800805077,-1,-1,0.3388490843980836,-1,0.42727565402587253,0.4245581644094857,-1
hat-trick,0.31526139620311744,0.0674363154943205,-1,0.24892183919993238,0.17712651778627464,0.24262884632986437,-1,-1,0.19625321618089142,-1,0.2602772158595248,0.2451808731568781,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dover,0.5805825871249534,0.36935671572566453,-1,0.6736060464335427,0.5080605642886042,0.5924508066486964,-1,-1,0.38221249016170966,-1,0.396958446611716,0.3107611649796995,-1
made,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,0.318297756742834,0.08389969664957475,-1,0.41791851542884506,0.41338993220989273,0.3049412058066163,-1,-1,0.34811918214249926,-1,0.27840039532119487,0.2206444816105655,-1
wins,0.44465946036046233,0.05560094415537853,-1,0.7451097679808052,0.6194968846491464,0.7807765040027451,-1,-1,0.5507571166510382,-1,0.5445051965538132,0.4826947856941901,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bounce,0.10218733073409658,0.05921197708841475,-1,0.13261901913412555,0.16191444109389208,0.08227918514373844,-1,-1,0.17305181009879833,-1,0.14312601688575632,0.12683319918958913,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
thrilling,-0.03742991298310061,0.034878418646081544,-1,0.19995215383722986,0.09698797735008502,0.1476585519249769,-1,-1,0.15572521216921786,-1,0.18597265084610393,0.22770596656633568,-1
victory,0.22130295793938037,0.05727478367869687,-1,0.42058804217456136,0.3436706854306508,0.35638960673129083,-1,-1,0.26788586120652425,-1,0.24837275873940623,0.2648808374150968,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
national,0.1447052882766483,0.04832495488423283,-1,0.4189501092623382,0.44804188945890044,0.27094415201741096,-1,-1,0.37885584758986224,-1,0.34411350797599205,0.33556579797166664,-1
league,0.22053035766590268,0.041280574241193135,-1,0.5799638824710401,0.40608101974251287,0.49905660953115927,-1,-1,0.27833071677234056,-1,0.20376363671909392,0.17471717199226022,-1
leaders,0.1972149060611853,0.05831847677999191,-1,0.4609565794342234,0.46830886674538497,0.36706163211429155,-1,-1,0.14115767820139258,-1,0.001836021312834113,-0.0027337321615292787,-1
forest,0.5013758224162778,0.1068843422028879,-1,1.0,0.8026768370063821,0.8045231234682092,-1,-1,0.5437443922079859,-1,0.5016869581356729,0.4386608029021497,-1
green,0.5821214972086859,0.1563866549107752,-1,0.8026768370063821,1.0,0.6029221648244867,-1,-1,0.5527267859490058,-1,0.5292330527351826,0.46495985627171954,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
