model,goal,!,dover,athletic,4,forest,green,rovers,3,.
ricky,0.1713618636599754,-1,0.537069268771844,0.4023153476175738,-1,0.34310517229243,0.40314494854424776,0.10582856498568494,-1,-1
miller,0.2590651084893856,-1,0.4885063506277143,0.3758830411746438,-1,0.4330651572906177,0.6058079537470237,0.23454158443609174,-1,-1
scored,0.6260651733419731,-1,0.2861863454253436,0.27225089756723286,-1,0.35400336721561476,0.3310216029467449,0.36361348011967665,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
superb,0.5511944330737052,-1,0.07389746425056953,0.1423995958374733,-1,0.14784653837775874,0.19360748051895937,0.1390793800805077,-1,-1
hat-trick,0.5852713026719975,-1,0.21324806914760408,0.20117668046581438,-1,0.24892183919993238,0.17712651778627464,0.24262884632986437,-1,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dover,0.4805700063752051,-1,1.0,0.8529382578673381,-1,0.6736060464335427,0.5080605642886042,0.5924508066486964,-1,-1
made,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,0.45898964217097427,-1,0.14767515750406957,0.18737805315072564,-1,0.41791851542884506,0.41338993220989273,0.3049412058066163,-1,-1
wins,0.6718126551008221,-1,0.6011382594232453,0.7402733606703219,-1,0.7451097679808052,0.6194968846491464,0.7807765040027451,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bounce,0.33839237014729484,-1,0.11612413382623044,0.06940203462015426,-1,0.13261901913412555,0.16191444109389208,0.08227918514373844,-1,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
thrilling,0.38271167916618865,-1,0.10714969350148174,0.1098655694182421,-1,0.19995215383722986,0.09698797735008502,0.1476585519249769,-1,-1
victory,0.5567483370791394,-1,0.23559619209029925,0.24640400301355725,-1,0.42058804217456136,0.3436706854306508,0.35638960673129083,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
national,0.25693922821710546,-1,0.19878050208495313,0.28462178020420703,-1,0.4189501092623382,0.44804188945890044,0.27094415201741096,-1,-1
league,0.5907914727523452,-1,0.29708570400993284,0.4109924913457905,-1,0.5799638824710401,0.40608101974251287,0.49905660953115927,-1,-1
leaders,0.2902828661743071,-1,0.17336505408871428,0.21272000201298524,-1,0.4609565794342234,0.46830886674538497,0.36706163211429155,-1,-1
forest,0.6087751144045982,-1,0.6736060464335427,0.7341629189457309,-1,1.0,0.8026768370063821,0.8045231234682092,-1,-1
green,0.49898026755866,-1,0.5080605642886042,0.5341790567589545,-1,0.8026768370063821,1.0,0.6029221648244867,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
