model,st,mirren,1-2,falkirk,.
match,0.31766391397811566,0.17146204780563734,0.04196396958622228,0.24349653227145873,-1
reports,0.14563145834902158,0.005392151766184239,0.05425163175127257,0.11037685031578848,-1
from,-1,-1,-1,-1,-1
saturday,0.4750990875786356,0.20159199418249552,0.0888661403287212,0.25321640921158317,-1
's,-1,-1,-1,-1,-1
scottish,0.3277677833798278,0.13011900162521417,0.019277785209130816,0.1276831437618704,-1
premiership,0.2904220845533051,0.21184922108490745,-0.00849042900929331,0.14771151891773582,-1
and,-1,-1,-1,-1,-1
championship,0.34835149860942116,0.15711630473406613,-0.006044463771805564,0.25605711181251234,-1
games,0.21780897959455758,0.090270912910006,0.03203844634935227,0.15783134158254286,-1
.,-1,-1,-1,-1,-1
