model,aberdeen,3-0,dundee,.
match,0.5718973210677553,0.527230290524439,0.5683715481147077,-1
reports,0.2849295480693078,0.1975246853695295,0.24972802503038571,-1
from,-1,-1,-1,-1
saturday,0.5987246007810522,0.6061753793994042,0.5324258813005508,-1
's,-1,-1,-1,-1
scottish,0.49365650511448045,0.3012179071884459,0.3533776634297401,-1
premiership,0.6257737066145465,0.4493801202575731,0.5472108186698452,-1
and,-1,-1,-1,-1
championship,0.641183304352878,0.5199927241997974,0.5711523673148425,-1
games,0.3930169600594938,0.38063910772631404,0.3908816737476737,-1
.,-1,-1,-1,-1
