model,motherwell,0-2,rangers,.
match,0.5194379219976856,0.0029142648261960558,0.5932193555042481,-1
reports,0.18365862652474485,0.019807261221308714,0.24712415487169503,-1
from,-1,-1,-1,-1
saturday,0.5504973262753504,0.03488102413794003,0.6165156857821472,-1
's,-1,-1,-1,-1
scottish,0.3592929584435368,-0.00858154617075546,0.5072116506123286,-1
premiership,0.4674206699810586,-0.03582783843035209,0.6283655293793039,-1
and,-1,-1,-1,-1
championship,0.5603620886598175,-0.04670415216813817,0.709392375764742,-1
games,0.3615675935397007,0.004472641895867269,0.4764041629852954,-1
.,-1,-1,-1,-1
