model,dunfermline,athletic,1-1,dundee,united,.
match,0.2574527261505204,0.4523147307449502,0.6515984107551517,0.5683715481147077,0.6883251265711245,-1
reports,-0.018373737122800105,0.09730124434724696,0.22785176721066847,0.24972802503038571,0.26166146783936084,-1
from,-1,-1,-1,-1,-1,-1
saturday,0.23598310848277826,0.26500939617473174,0.7315117512497847,0.5324258813005508,0.536109710811447,-1
's,-1,-1,-1,-1,-1,-1
scottish,0.1321201253338563,0.20253997211917651,0.2946744124363825,0.3533776634297401,0.42301021940897754,-1
premiership,0.19866033249998616,0.33041998450744836,0.5314989203767042,0.5472108186698452,0.537592117486621,-1
and,-1,-1,-1,-1,-1,-1
championship,0.20738789360123078,0.36459757871442755,0.6206870334808399,0.5711523673148425,0.6437655462609592,-1
games,0.13473682961376843,0.1712433731443147,0.42251734942454455,0.3908816737476737,0.4576058653811914,-1
.,-1,-1,-1,-1,-1,-1
