model,queen,of,the,south,0-1,hibernian,.
match,0.49125568535313535,-1,-1,0.4365815774491776,0.3536705307904269,0.33634081629186796,-1
reports,0.3382978474066016,-1,-1,0.41917720605508213,0.305981993031462,0.0037404210992421083,-1
from,-1,-1,-1,-1,-1,-1,-1
saturday,0.5768911231427557,-1,-1,0.5241416308654283,0.3265647185464672,0.3119812197402071,-1
's,-1,-1,-1,-1,-1,-1,-1
scottish,0.3873875282126342,-1,-1,0.4549410860439409,0.1860624344013413,0.2912097560576874,-1
premiership,0.3936388902503679,-1,-1,0.3513676735574638,0.11759498388429845,0.2810962610452148,-1
and,-1,-1,-1,-1,-1,-1,-1
championship,0.46520571816030853,-1,-1,0.49842108533255103,0.16307552810365988,0.34941942077142063,-1
games,0.294142104804211,-1,-1,0.3522504773620524,0.18573889970566393,0.2136625194390298,-1
.,-1,-1,-1,-1,-1,-1,-1
