model,``,i,would,like,to,apologise,to,kevin,de,bruyne,for,my,reaction,to,his,injury,'',said,the,25-year-old,spaniard,.
manchester,-1,-1,-1,0.3944355764188936,-1,0.14553437332130537,-1,0.5130528944944344,0.4855076111484925,0.16283893958604967,-1,0.25631047176772415,0.2868943427553867,-1,-1,0.3387342768081496,-1,-1,-1,0.38661158856735567,0.2292519689722312,-1
city,-1,-1,-1,0.370588840796517,-1,0.09450554505741093,-1,0.40178947976877555,0.4515737108888618,0.13158002766968402,-1,0.2457278875835638,0.23080979704159654,-1,-1,0.2707907366021731,-1,-1,-1,0.31004176472279776,0.1197221051728935,-1
midfielder,-1,-1,-1,0.1926075618189791,-1,0.054809315172185014,-1,0.599124564436748,0.45011376226056976,0.29030887611032696,-1,0.1126268484265619,0.09632167354521359,-1,-1,0.3864318431112572,-1,-1,-1,0.5984301491344388,0.38984520773970455,-1
kevin,-1,-1,-1,0.20233675028378606,-1,0.1458953227031934,-1,1.0,0.4557297185615541,0.2035084394581459,-1,0.18220591642871187,0.25475078231951365,-1,-1,0.2000008578213961,-1,-1,-1,0.4035441599482952,0.41125870449173507,-1
de,-1,-1,-1,0.2515438927443596,-1,0.1312004403813587,-1,0.4557297185615541,1.0,0.4017130932404378,-1,0.11258596537126886,0.039796323194415506,-1,-1,0.07951236040645349,-1,-1,-1,0.27187129498074714,0.3688699335290154,-1
bruyne,-1,-1,-1,0.02048796808046316,-1,0.014835096758326505,-1,0.2035084394581459,0.4017130932404378,1.0,-1,-0.05707979256698392,-0.13832007257083556,-1,-1,0.06931427465019224,-1,-1,-1,0.1238851508285318,0.17696660173534917,-1
says,-1,-1,-1,0.5163274206055871,-1,0.2218202190314622,-1,0.46928222035564326,0.4098142650511045,0.10089150626012033,-1,0.3572213353252862,0.38761531634985535,-1,-1,0.30627536085537854,-1,-1,-1,0.3080812954751231,0.3080137841603884,-1
he,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
about,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,-1,-1,0.4159033028009196,-1,0.18671406739384633,-1,0.251663498607511,0.26573033588551076,-0.013838926171875654,-1,0.38499080989702916,0.31273562265471133,-1,-1,0.36971141039843125,-1,-1,-1,0.321503193694188,0.29588350054784474,-1
weeks,-1,-1,-1,0.4145725651089196,-1,0.2672385228774099,-1,0.16550263311044455,0.18177149296233108,-0.01869674558617973,-1,0.4057939417945162,0.28223914237039893,-1,-1,0.4428955133868745,-1,-1,-1,0.2814788185834872,0.2505835658356803,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
injuring,-1,-1,-1,0.16121546881415694,-1,0.21887576292930422,-1,0.047106565144123036,-0.07875881889894343,-0.055796248638084966,-1,0.19369451905270374,0.19473669438908148,-1,-1,0.3642385889387363,-1,-1,-1,0.28816266977390936,0.18435211147148434,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
right,-1,-1,-1,0.3761609947977891,-1,0.16839196005958423,-1,0.36634987113906126,0.28780414636026375,0.06107313321153085,-1,0.44357552063753747,0.3515904550926927,-1,-1,0.3825092771452523,-1,-1,-1,0.18105555457757827,0.06701156365161842,-1
knee,-1,-1,-1,0.22017975066452544,-1,0.21883190477518655,-1,0.06892611293983952,-0.013665533072148017,0.15397731388851943,-1,0.3461637333993204,0.32533426630269713,-1,-1,0.9074945938218161,-1,-1,-1,0.3320509800797862,0.14342949280119155,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wednesday,-1,-1,-1,0.2865607954880556,-1,0.2271109537608651,-1,0.40631364468408226,0.38673641293200267,0.08331105663568339,-1,0.32878113699833755,0.42751208505648997,-1,-1,0.4398801260240037,-1,-1,-1,0.28076113250719925,0.2280880258731346,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,-1,-1,0.30146588480477776,-1,0.12860748455187754,-1,0.22122982234044264,0.33134512729789445,0.06912241008824704,-1,0.29337867911180004,0.2741745845199566,-1,-1,0.34842080008628395,-1,-1,-1,0.3833172038441013,0.31104653020618245,-1
cup,-1,-1,-1,0.3213297430160792,-1,0.14525363465794972,-1,0.1713238215931394,0.41961461355419183,0.10060378566418549,-1,0.20704046737768944,0.2492778350104139,-1,-1,0.26361580172840604,-1,-1,-1,0.21927894307146167,0.2518157543712336,-1
semi-final,-1,-1,-1,0.2827798539503745,-1,0.13479761373765897,-1,0.0790517601450974,0.3101638075706421,0.07724196747216605,-1,0.25160146176332276,0.2578435332384814,-1,-1,0.358403294401873,-1,-1,-1,0.17844269266110446,0.2509943195816777,-1
victory,-1,-1,-1,0.29897646346510076,-1,0.1300571736165953,-1,0.1925053967574457,0.3191295520154507,0.06803102139599992,-1,0.21071624246128562,0.2839278337936756,-1,-1,0.33649726607329755,-1,-1,-1,0.1936768367246261,0.3454041054107092,-1
