model,``,in,the,heat,of,the,moment,i,did,n't,realise,he,was,badly,hurt,.
manchester,-1,-1,-1,0.13796904552857114,-1,-1,0.292991609127629,-1,0.4506328812623952,-1,0.24513806063679433,-1,-1,0.18354780796815418,0.27811352932114275,-1
city,-1,-1,-1,0.17664045548628193,-1,-1,0.3350989361103649,-1,0.3944329894958585,-1,0.23337760376074468,-1,-1,0.24529147742274948,0.21295757115963443,-1
midfielder,-1,-1,-1,0.12012190501327236,-1,-1,0.12006875701120656,-1,0.2527576140585135,-1,0.04503537799891644,-1,-1,0.12180453810282565,0.11211787764801173,-1
kevin,-1,-1,-1,0.10191396267348529,-1,-1,0.20383671641225876,-1,0.3173143213316687,-1,0.12002596653041797,-1,-1,0.08020275468480254,0.21653927707910314,-1
de,-1,-1,-1,0.10501058195212831,-1,-1,0.21048905611135793,-1,0.24943102475055035,-1,0.15071232816700242,-1,-1,0.04676685882512521,0.07044508011077044,-1
bruyne,-1,-1,-1,0.2868010795518472,-1,-1,-0.04222799285151013,-1,-0.01554932781936924,-1,-0.05563832876948527,-1,-1,-0.0018244385024592802,-0.053087247539550964,-1
says,-1,-1,-1,0.23309056940142958,-1,-1,0.3639930624571772,-1,0.5804310810313309,-1,0.41261968964461637,-1,-1,0.21146770253168667,0.3786891077249256,-1
he,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
out,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
about,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,-1,-1,0.2718415624924142,-1,-1,0.34641356164683,-1,0.50358850089042,-1,0.3256088161429632,-1,-1,0.2349677750050797,0.39565994079314204,-1
weeks,-1,-1,-1,0.209430876267637,-1,-1,0.34955764627658015,-1,0.4681500100285778,-1,0.3318733299812464,-1,-1,0.23595329539087528,0.37327391223194917,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
injuring,-1,-1,-1,0.13708920170269645,-1,-1,0.11763638344297767,-1,0.15119752578507828,-1,0.1808356855524771,-1,-1,0.34276898672934486,0.41449948362708966,-1
his,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
right,-1,-1,-1,0.3497041640861691,-1,-1,0.4635892622199558,-1,0.46455784318438587,-1,0.36448919067631746,-1,-1,0.3292889267700112,0.3125610643340042,-1
knee,-1,-1,-1,0.4801418487225211,-1,-1,0.20272250973758843,-1,0.297452209716093,-1,0.14161125118915496,-1,-1,0.36321072015493894,0.3051289313466845,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wednesday,-1,-1,-1,0.15625249596263235,-1,-1,0.3503263248365869,-1,0.5573536635320814,-1,0.25678538120285577,-1,-1,0.18898971090568772,0.30944828627041865,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,-1,-1,0.19396848226913788,-1,-1,0.29200639494295966,-1,0.3655011549389485,-1,0.253994546641902,-1,-1,0.1279028007277363,0.19297539405123876,-1
cup,-1,-1,-1,0.22090771111135044,-1,-1,0.284767790867158,-1,0.352173233639997,-1,0.2555415609397411,-1,-1,0.13478267492616713,0.22472752311110045,-1
semi-final,-1,-1,-1,0.22690719133180104,-1,-1,0.2632893953309654,-1,0.3383781649947084,-1,0.16983183755908016,-1,-1,0.10593547755146604,0.19243141267523112,-1
victory,-1,-1,-1,0.2513604668613221,-1,-1,0.3796475691416802,-1,0.3878379362555511,-1,0.22118046553146897,-1,-1,0.24559319747389974,0.2462742286291414,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
everton,-1,-1,-1,0.29908098241087566,-1,-1,0.2718401884256796,-1,0.38131294492664947,-1,0.1757595943286998,-1,-1,0.07326140762130406,0.20084897474349472,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
