model,but,after,seeing,a,specialist,the,#,55m,former,wolfsburg,player,said,:,``,i,'ll,be,out,for,around,10,weeks,.
manchester,-1,-1,0.3598841445252169,-1,0.2459426047182377,-1,-1,0.020127046210839272,0.6578657404857648,0.5522733802143956,0.5920171359279259,-1,-1,-1,-1,-1,-1,-1,-1,0.38427538307079057,0.5148932484915139,0.3585751225294297,-1
city,-1,-1,0.34501665937037695,-1,0.17285348642635223,-1,-1,0.07542570075083,0.5757929875413439,0.47554071025545785,0.5226974009569746,-1,-1,-1,-1,-1,-1,-1,-1,0.42062907234340585,0.44440259086753353,0.3299528664845308,-1
midfielder,-1,-1,0.2032349635992241,-1,0.18715445509431272,-1,-1,0.15862255254816127,0.6776859223741293,0.5353007381905441,0.5854641882420492,-1,-1,-1,-1,-1,-1,-1,-1,0.15691309738870562,0.3032736136678209,0.19133132189118396,-1
kevin,-1,-1,0.2557131270217834,-1,0.16808627337960802,-1,-1,0.12413206744639149,0.5069984274214162,0.4405422591797623,0.38700918661205386,-1,-1,-1,-1,-1,-1,-1,-1,0.06632166689668462,0.251663498607511,0.16550263311044455,-1
de,-1,-1,0.11835030679776914,-1,-0.04444183408603819,-1,-1,0.0730692581193193,0.37714466689327497,0.5921510315289811,0.35864213616538687,-1,-1,-1,-1,-1,-1,-1,-1,0.17970270046448866,0.26573033588551076,0.18177149296233108,-1
bruyne,-1,-1,-0.09341653116912751,-1,-0.09184143416436674,-1,-1,0.40941854179778436,0.1657022847126417,0.48781541977666465,0.055352128286776714,-1,-1,-1,-1,-1,-1,-1,-1,-0.053704606918382414,-0.013838926171875654,-0.01869674558617973,-1
says,-1,-1,0.41540484548143297,-1,0.31610387198446444,-1,-1,-0.02043732511753138,0.504406579482377,0.2752990295829938,0.4871399154038609,-1,-1,-1,-1,-1,-1,-1,-1,0.36600788017460784,0.45828079560860757,0.4348534137789364,-1
he,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
