model,'',de,bruyne,scored,one,goal,and,set,up,another,to,help,city,to,a,4-3,aggregate,victory,over,the,toffees,.
manchester,-1,0.4855076111484925,0.16283893958604967,0.5029951354393715,0.47165608141485427,0.557319288739623,-1,0.38473087247378557,-1,0.4792072551592558,-1,-1,0.8622540645637603,-1,-1,0.18304263470152715,0.16964610664762858,0.4743413672913034,-1,-1,0.320273033624208,-1
city,-1,0.4515737108888618,0.13158002766968402,0.3815322175463989,0.4442700372207139,0.5638094497378505,-1,0.3732533445972228,-1,0.43976323051471633,-1,-1,1.0,-1,-1,0.1380932266740178,0.11503633589836315,0.4491068954858741,-1,-1,0.20253864246232867,-1
midfielder,-1,0.45011376226056976,0.29030887611032696,0.5968493975597854,0.27919889570247824,0.4443738621995188,-1,0.30413511157629314,-1,0.3304339930447622,-1,-1,0.6287094192500066,-1,-1,0.1074557460128146,0.08122164647751351,0.2772679407970654,-1,-1,0.42193739442888345,-1
kevin,-1,0.4557297185615541,0.2035084394581459,0.4009575704843624,0.25616636523144354,0.37106896623349617,-1,0.18387900708555738,-1,0.2799639935059357,-1,-1,0.40178947976877555,-1,-1,0.023609086647784605,-0.10865604259255668,0.1925053967574457,-1,-1,0.35535309575453655,-1
de,-1,1.0,0.4017130932404378,0.355177206666615,0.27502989592090077,0.42383701736338386,-1,0.21601208221772827,-1,0.24134026706738554,-1,-1,0.4515737108888618,-1,-1,0.16334659815428132,0.12012285129191269,0.3191295520154507,-1,-1,0.21265138752889767,-1
bruyne,-1,0.4017130932404378,1.0,0.17597557636772476,0.007826441561840203,0.12830621344967053,-1,0.007824750334172625,-1,-0.07297509729489504,-1,-1,0.13158002766968402,-1,-1,0.1043573741645919,0.1219532101950569,0.06803102139599992,-1,-1,0.11242668420609447,-1
says,-1,0.4098142650511045,0.10089150626012033,0.2971222967197894,0.49768000270746926,0.2679139831092281,-1,0.4181070328111389,-1,0.4935062546398703,-1,-1,0.4438921024751581,-1,-1,0.023755529545711584,-0.08842986837460365,0.2597246891586309,-1,-1,0.10295905013024187,-1
he,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
