model,``,i,do,like,a,laugh,and,a,joke,but,when,i,'m,serious,i,'m,serious,there,'s,a,time,and,a,place,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hartlepool,-1,-1,0.06658425348528707,0.09661201900690175,-1,0.060996632672880025,-1,-1,0.03198441906213845,-1,-1,-1,-1,-0.00906604865272298,-1,-1,-0.00906604865272298,-1,-1,-1,-1,-1,-1,0.16193371332614626,-1
manager,-1,-1,0.3535926302329022,0.3202297340442559,-1,0.07131563391322027,-1,-1,0.14284003711181215,-1,-1,-1,-1,0.18536802625043647,-1,-1,0.18536802625043647,-1,-1,-1,-1,-1,-1,0.31196040084769716,-1
craig,-1,-1,0.16974415021395406,0.21807234893377692,-1,0.14257359020666416,-1,-1,0.18053476417499859,-1,-1,-1,-1,0.0500516104552291,-1,-1,0.0500516104552291,-1,-1,-1,-1,-1,-1,0.1136571867715519,-1
hignett,-1,-1,-0.3363153803000345,-0.23500410383130843,-1,-0.16185089071537395,-1,-1,-0.04705034202179581,-1,-1,-1,-1,-0.23446993738669186,-1,-1,-0.23446993738669186,-1,-1,-1,-1,-1,-1,-0.3188020143087409,-1
says,-1,-1,0.5450985755587435,0.5163274206055871,-1,0.20253224538521697,-1,-1,0.23527204662583812,-1,-1,-1,-1,0.36147168425782294,-1,-1,0.36147168425782294,-1,-1,-1,-1,-1,-1,0.3723491390435889,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
situation,-1,-1,0.5655259816217192,0.47165095150774883,-1,0.24715543995210376,-1,-1,0.37577956509615906,-1,-1,-1,-1,0.5654495474403828,-1,-1,0.5654495474403828,-1,-1,-1,-1,-1,-1,0.43101570573605086,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
victoria,-1,-1,0.1232408401977726,0.17276676153099513,-1,0.04233603560136456,-1,-1,0.07337246453510116,-1,-1,-1,-1,0.19767049978680318,-1,-1,0.19767049978680318,-1,-1,-1,-1,-1,-1,0.2928096082880367,-1
park,-1,-1,0.32746472905383417,0.3837663369845761,-1,0.21260782342837592,-1,-1,0.12345121509739099,-1,-1,-1,-1,0.1891929601055009,-1,-1,0.1891929601055009,-1,-1,-1,-1,-1,-1,0.438741279093265,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
positive,-1,-1,0.37872348101081954,0.2946483258793611,-1,0.26609543682803494,-1,-1,0.3318986441016566,-1,-1,-1,-1,0.4424601618087862,-1,-1,0.4424601618087862,-1,-1,-1,-1,-1,-1,0.3700807530617196,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
despite,-1,-1,0.367406807783333,0.341242562481088,-1,0.18179922513350288,-1,-1,0.19950119213504414,-1,-1,-1,-1,0.39849840762903677,-1,-1,0.39849840762903677,-1,-1,-1,-1,-1,-1,0.36721195018127806,-1
taking,-1,-1,0.5643684548628877,0.4923071989972332,-1,0.21945471999165345,-1,-1,0.28881032308518495,-1,-1,-1,-1,0.41527100749006296,-1,-1,0.41527100749006296,-1,-1,-1,-1,-1,-1,0.6819520167887057,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
side,-1,-1,0.437474887754564,0.3733300686249059,-1,0.21089675219406256,-1,-1,0.12488786290370046,-1,-1,-1,-1,0.3303173890471762,-1,-1,0.3303173890471762,-1,-1,-1,-1,-1,-1,0.4444650549449438,-1
third,-1,-1,0.39766044072813167,0.3293303382952679,-1,0.19733379052496158,-1,-1,0.22774764570197037,-1,-1,-1,-1,0.3098401841280103,-1,-1,0.3098401841280103,-1,-1,-1,-1,-1,-1,0.6597724509234504,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bottom,-1,-1,0.2902181837423854,0.2117424081629774,-1,0.16832679882170998,-1,-1,0.11428928035085262,-1,-1,-1,-1,0.2597029284480985,-1,-1,0.2597029284480985,-1,-1,-1,-1,-1,-1,0.38221368979423676,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,-1,0.346060392708187,0.30146588480477776,-1,0.15034663204590337,-1,-1,0.14968943359708375,-1,-1,-1,-1,0.23472811292455265,-1,-1,0.23472811292455265,-1,-1,-1,-1,-1,-1,0.43629940177638094,-1
two,-1,-1,0.4676694072572487,0.43001315270320795,-1,0.2535083969597376,-1,-1,0.249824647142725,-1,-1,-1,-1,0.395473969964233,-1,-1,0.395473969964233,-1,-1,-1,-1,-1,-1,0.4486106228848634,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
