model,'',since,hignett,'s,last,stint,on,the,pools,',touchline,the,club,has,been,taken,over,by,jpng,-,led,by,chairman,gary,coxall,-,from,ken,hodcroft,and,ior,limited,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hartlepool,-1,-1,0.3932575543175616,-1,-1,0.09028675660396013,-1,-1,0.22006968238412994,-1,-0.003445613576405382,-1,0.3432134669830782,-1,-1,0.17037836878528156,-1,-1,-0.441594086221782,-1,0.17652824807762846,-1,0.35496840344435143,0.5890258502979515,0.16361632564249506,-1,-1,0.22084834921453012,-0.4008982485477379,-1,0.062014488441964666,0.1791465208761881,-1
manager,-1,-1,0.23391987147613158,-1,-1,0.215359555335502,-1,-1,0.17727823590459368,-1,0.056561288964879,-1,0.6885789766029462,-1,-1,0.27527261763612487,-1,-1,-0.4897942142367413,-1,0.3894174453999515,-1,0.7318475662012613,0.7571482660993802,0.2095939277740495,-1,-1,0.4666993215664046,-0.37349302671856877,-1,-0.3300922760416012,0.23855198691243396,-1
craig,-1,-1,0.591586327761169,-1,-1,0.020414071363629382,-1,-1,0.2443079711982744,-1,-0.06462278618232586,-1,0.31907465403820967,-1,-1,0.2299893237197812,-1,-1,-0.485237190930063,-1,0.3261168867530766,-1,0.5919046241082406,0.8449548816115032,0.3238938200903343,-1,-1,0.5971969159305311,-0.35260134870556836,-1,-0.11444830336473655,0.1705815954613954,-1
hignett,-1,-1,1.0,-1,-1,-0.12990363914666347,-1,-1,0.057234246753001816,-1,-0.19478077214432465,-1,-0.12579329711419285,-1,-1,-0.2831168723401405,-1,-1,0.06429932361317425,-1,-0.10642954071170596,-1,0.29465849105036435,0.46764351920106306,0.7292004551950779,-1,-1,0.5428657986028306,0.24573484043993843,-1,0.3223908730572125,-0.29571767326605225,-1
says,-1,-1,0.07913437265688628,-1,-1,-0.018579873209378706,-1,-1,0.08305062063079116,-1,-0.055775671381018466,-1,0.5294093576283881,-1,-1,0.4093142098751017,-1,-1,-0.5318674627906865,-1,0.47469342329307707,-1,0.5769449838406004,0.49639852062809553,-0.10501782659728454,-1,-1,0.39382344271858694,-0.4696622871400793,-1,-0.3660658820717948,0.47730000097365155,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
situation,-1,-1,-0.1563163196427455,-1,-1,0.25408722281281504,-1,-1,0.10639875127275167,-1,0.1783430361857954,-1,0.38568590111476087,-1,-1,0.45229193479683594,-1,-1,-0.38852648500814824,-1,0.4199900496839668,-1,0.2237184961717107,0.09868063012639705,-0.40587097329193145,-1,-1,0.1658848723080235,-0.49625372348582486,-1,-0.2224047885143423,0.6029372288765104,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
victoria,-1,-1,0.12561128964136592,-1,-1,0.0856778887359797,-1,-1,0.11350487910187634,-1,-0.03450357554769101,-1,0.21344319954646473,-1,-1,0.38427976231094885,-1,-1,-0.3905015604156805,-1,0.15793266786645987,-1,0.21204937868647233,0.3410133735359471,0.044120634840832174,-1,-1,0.07839927100890687,-0.38360565445937156,-1,-0.2069849190545896,0.1382820774039204,-1
