model,``,the,quality,i,'ve,seen,in,training,the,intensity,and,the,tempo,took,me,by,surprise,a,bit,'',hignett,told,bbc,tees,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hartlepool,-1,-1,0.12661219222983322,-1,-1,0.080663776533204,-1,0.11533447772769534,-1,0.12579128875458712,-1,-1,0.09634858393926637,0.19485645025301612,0.05193988162096774,-1,0.0734983384526866,-1,0.1270904101744511,-1,0.3932575543175616,-1,0.17138033444516865,0.23363872701431332,-1
manager,-1,-1,0.3555897816383582,-1,-1,0.2374130946749442,-1,0.3196146394523438,-1,0.22321278748791673,-1,-1,0.08286754468096802,0.36261711493887283,0.33646060278918477,-1,0.283024691507048,-1,0.29883372710777745,-1,0.23391987147613158,-1,0.4208602338321996,0.049970827919694094,-1
craig,-1,-1,0.1281991224421567,-1,-1,0.144007080425696,-1,0.07552197106281544,-1,0.07331410951612627,-1,-1,-0.06755565396858554,0.3102728531371337,0.23236687820556112,-1,0.16388438436517727,-1,0.20554624344247963,-1,0.591586327761169,-1,0.3385266080467495,0.2532637553602888,-1
hignett,-1,-1,-0.2970587233077733,-1,-1,-0.2294057236944136,-1,-0.3536100799235311,-1,-0.22986458874875093,-1,-1,-0.25155617406417496,-0.16846802821935802,-0.19757445117278327,-1,-0.18677522268059832,-1,-0.16397893405592945,-1,1.0,-1,0.0999302017587137,0.2637248140698396,-1
says,-1,-1,0.4481498991572248,-1,-1,0.3974951970391216,-1,0.41362630756762053,-1,0.14232353753608562,-1,-1,-0.08373529933007395,0.42673186914852157,0.49942306259663694,-1,0.35366666034840044,-1,0.3560189021618835,-1,0.07913437265688628,-1,0.5672391255995147,0.07802597044622439,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
situation,-1,-1,0.533701451217451,-1,-1,0.4474281205863899,-1,0.48596163667180003,-1,0.35524680844673673,-1,-1,0.27748642543614055,0.27787420786532324,0.443040247563682,-1,0.3534328024114044,-1,0.5277668571430001,-1,-0.1563163196427455,-1,0.36711546133476225,0.0950335312415852,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
victoria,-1,-1,0.15487761823309243,-1,-1,0.14972757673728765,-1,0.3663095013973605,-1,0.058428894611484816,-1,-1,-0.012339604203397414,0.20603615447942425,0.23224028899589733,-1,0.05199427851156513,-1,0.10205009435947188,-1,0.12561128964136592,-1,0.48710405003329105,0.543468093399233,-1
park,-1,-1,0.2221516278106368,-1,-1,0.33280015751647296,-1,0.5421659758009275,-1,0.1235640034891543,-1,-1,0.09147898228247997,0.3356841776540651,0.2339467682678461,-1,0.2237082059359573,-1,0.11360381937100272,-1,0.019943370596002152,-1,0.3068246310246965,0.32224050126219816,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
positive,-1,-1,0.46603823908946385,-1,-1,0.3894858749708403,-1,0.40590084486548406,-1,0.2926092137738421,-1,-1,0.23555529586729906,0.2472011832259534,0.3991117672409583,-1,0.33865126591450967,-1,0.44351308004316314,-1,-0.2250633771776238,-1,0.25103946107587216,-0.04797318542113693,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
