model,'',former,tranmere,and,rotherham,boss,moore,helped,retain,hartlepool,'s,football,league,status,last,term,after,his,appointment,in,december,2014,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hartlepool,-1,0.3125301618282905,0.1593114111681191,-1,0.6902167304626202,0.4141649213815828,0.6010179953813154,0.20725635250190289,0.04566338415495841,1.0,-1,0.2341512265940735,0.4027397635053025,0.022268022678939237,-1,0.09008008693867564,-1,-1,0.06132716580183628,-1,0.33626951365989255,0.2952661018203768,-1
manager,-1,0.6744630347416186,0.2405141449716336,-1,0.4881088328807266,0.8911740909169482,0.5236438157209213,0.35018025581517187,0.2845204414336282,0.44351957201849834,-1,0.47008126828648145,0.5255629320322626,0.3480301136619972,-1,0.30861867614151817,-1,-1,0.47894147717613955,-1,0.3350625781809412,0.3528703079693133,-1
craig,-1,0.46266281205221893,0.014406264063001273,-1,0.5458540358146606,0.572695565809839,0.9078844926879472,0.3136790113984107,0.025494075081139767,0.7538602131140378,-1,0.21692062730252615,0.2425622048156335,-0.056064782371661126,-1,0.08206038461984555,-1,-1,0.24473645076287875,-1,0.27986758531981026,0.2494671323398825,-1
hignett,-1,0.03578311861254302,-0.2637495014091016,-1,-0.03465477603056799,0.25651061471596104,0.5706408204826927,-0.17945752451352814,-0.3541835651818823,0.3932575543175616,-1,-0.13180605111147692,-0.20864627082097287,-0.40651109106784,-1,-0.23230075340402312,-1,-1,-0.01705510370137553,-1,-0.09108459734647889,-0.14470205488593368,-1
says,-1,0.504406579482377,0.15560999118617191,-1,0.3426509977833222,0.481097491336105,0.4918341931006218,0.45762668025385833,0.3205387746393593,0.17851021652622345,-1,0.4682321794673454,0.3543662416338813,0.38777323282327636,-1,0.2998728761566485,-1,-1,0.38134094356141357,-1,0.3828185213893066,0.44761730073004635,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
situation,-1,0.18906074688597307,0.021572004188616933,-1,0.16177856280488856,0.1728507828350021,0.16544156936694931,0.32335493418967376,0.19048039919220705,0.02449418776494261,-1,0.3728059717814367,0.23778796948270842,0.4302799594884663,-1,0.49864071361496554,-1,-1,0.4471216573845862,-1,0.26918775293017405,0.29008193684814887,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
victoria,-1,0.28238058699899815,0.13628448316274788,-1,0.35603182295542746,0.2005990814413986,0.3286950604908696,0.12274284304437288,0.053356250339650524,0.2590693061573581,-1,0.18184891839978667,0.13619568023111284,0.14324607513700738,-1,0.03177436406132639,-1,-1,0.18941471577318547,-1,0.2906038743217134,0.21038355169420075,-1
park,-1,0.4394102612990811,-0.041430669286402155,-1,0.5138662410442221,0.31412424711526143,0.462881041590294,0.35880669077623706,0.24057626633146978,0.45181026864076956,-1,0.32991766450161997,0.40776339933844075,0.2107839093098003,-1,0.29391079065400505,-1,-1,0.31147227225107343,-1,0.4300993078872921,0.3919169336167092,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
positive,-1,0.0893339887395379,0.03117901962818781,-1,0.10440306097580054,0.1330514892694401,0.08903895091553993,0.2861451393122777,0.2526733169772142,0.017633156935292327,-1,0.29626398192056547,0.2610279427706388,0.33679240946630695,-1,0.25632747766878317,-1,-1,0.31539094834742554,-1,0.2396342105718321,0.2657644151350069,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
despite,-1,0.3254333790998243,0.07064655976124679,-1,0.2611755031404166,0.25002229544243093,0.17590410417060154,0.4208549218394305,0.3929701944721723,0.09902499639811735,-1,0.3350336016314559,0.4615947036047955,0.3885961392994438,-1,0.4145406953414392,-1,-1,0.3564255251206515,-1,0.426039335770364,0.4792138969943571,-1
taking,-1,0.38522166573468963,0.08093004873082854,-1,0.34547518168709157,0.24963960366574978,0.23831730125288997,0.44174478721939303,0.4311667195684913,0.1546712720911929,-1,0.40780902948541187,0.40794691449142917,0.4416395307502876,-1,0.4794017379396527,-1,-1,0.39058748529830845,-1,0.46999212347133923,0.5250294720710161,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
