model,``,i,need,to,get,my,message,across,to,the,team,quickly,because,there,will,be,a,change,in,style,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hartlepool,-1,-1,0.09007838595263218,-1,0.0953136539076983,-0.007012516279199632,0.01361548384328326,0.20113250629982227,-1,-1,0.24759527208870646,0.07511981060881434,0.11030193290656354,-1,-1,-1,-1,0.058848983552414746,-1,0.08964528409366768,-1
manager,-1,-1,0.341989374431121,-1,0.31543752151964854,0.30154995289786,0.1657942496581294,0.13041347345807353,-1,-1,0.48363808817212695,0.23761614516477159,0.36966329471080794,-1,-1,-1,-1,0.3600405563877038,-1,0.30017183579270845,-1
craig,-1,-1,0.1328842914092312,-1,0.1644865506974469,0.11323199687125729,0.15099462457627055,0.10653852658948493,-1,-1,0.2830412002556397,0.18301652471071506,0.18378158376185105,-1,-1,-1,-1,0.1641785164699906,-1,0.11411480947692432,-1
hignett,-1,-1,-0.3545772476511877,-1,-0.2961656156840049,-0.25681053433278134,-0.16821665872489966,-0.28724577200952206,-1,-1,-0.15909113752161086,-0.11807764282727118,-0.31092209022188677,-1,-1,-1,-1,-0.2382410786546365,-1,-0.1743113941279475,-1
says,-1,-1,0.5231237717548743,-1,0.4377491337401499,0.3572213353252862,0.3417533874371719,0.2873691751553329,-1,-1,0.4503668290785592,0.31142423363219507,0.586720645031131,-1,-1,-1,-1,0.5549311447191648,-1,0.2682708396108713,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
situation,-1,-1,0.5498102874000352,-1,0.4803411997053868,0.3830096874112643,0.39329080197522504,0.3926270801233991,-1,-1,0.3914658928572552,0.6201687992388957,0.6240558832364502,-1,-1,-1,-1,0.6703684919214806,-1,0.4479475989749836,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
victoria,-1,-1,0.07884213359748338,-1,0.22591500672541398,0.21885987124276307,0.24782730567375788,0.26224459229315333,-1,-1,0.23806342534996205,0.11543386995353633,0.15874478022261718,-1,-1,-1,-1,0.0022317597087861962,-1,0.14653732387470975,-1
park,-1,-1,0.2946341469213096,-1,0.2752222399489861,0.3471391594731068,0.06828907836166176,0.3051616273935345,-1,-1,0.37186675450395956,0.1367615245683611,0.3699493485928269,-1,-1,-1,-1,0.2979099248835164,-1,0.20655591106155313,-1
is,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
positive,-1,-1,0.4191336040478414,-1,0.464409742612957,0.3399988116296597,0.5015306113960735,0.33329691842537723,-1,-1,0.3743641929899997,0.40010340299653424,0.4754377719542169,-1,-1,-1,-1,0.5420626529699549,-1,0.38354081670198736,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
despite,-1,-1,0.3875205225541801,-1,0.3303510038073072,0.2866554109971593,0.40860354982698877,0.46309519929559984,-1,-1,0.4054149358105763,0.3386400440896622,0.5221306629116258,-1,-1,-1,-1,0.4524853150411612,-1,0.28272220328041786,-1
taking,-1,-1,0.5631818312701274,-1,0.5366681768324573,0.44369711623628216,0.42302899973253716,0.47467746756513285,-1,-1,0.531527497127153,0.39672629745483845,0.6347690205796307,-1,-1,-1,-1,0.5568008692863101,-1,0.33296528380601953,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
side,-1,-1,0.4256826430783155,-1,0.4461471044760701,0.38758564170452514,0.2202409017788588,0.3072569159335026,-1,-1,0.5865906673935176,0.3280151414761595,0.498624631219315,-1,-1,-1,-1,0.40223007514774867,-1,0.39837896407023166,-1
third,-1,-1,0.36940874682697056,-1,0.43446928187162936,0.3734288301039904,0.27913405675894165,0.3465323730900636,-1,-1,0.5335801671103763,0.2491934410482628,0.4481764247723552,-1,-1,-1,-1,0.40166095636724286,-1,0.28086049247299505,-1
from,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bottom,-1,-1,0.3227705734661436,-1,0.3917823598682274,0.303655989605051,0.23668138523263227,0.2672330560396795,-1,-1,0.35782286492487625,0.20181213829905387,0.3031361881207597,-1,-1,-1,-1,0.23907709061162097,-1,0.23405169077825205,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
league,-1,-1,0.3799328418624289,-1,0.408039872351311,0.29337867911180004,0.1847436082750501,0.2600329591901601,-1,-1,0.5269120351175107,0.21293130327592436,0.41194951173848526,-1,-1,-1,-1,0.29545891686477,-1,0.34800648557682856,-1
two,-1,-1,0.43558580983947137,-1,0.4691905860189971,0.3832206150236248,0.27480889892308125,0.4434091060453135,-1,-1,0.4256324904312807,0.30235264622183355,0.4828706180911351,-1,-1,-1,-1,0.3215616799714466,-1,0.31591312439635777,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
