model,'',liverpudlian,hignett,is,a,self-confessed,relaxed,and,jovial,character,but,says,that,will,have,no,impact,on,his,performance,with,reference,to,liverpool,boss,jurgen,klopp,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hartlepool,-1,-0.00694420791592254,0.3932575543175616,-1,-1,-0.20539332379826347,0.0503045281438812,-1,-0.17828479440953449,0.07236243113786045,-1,0.17851021652622345,-1,-1,-1,0.008720285583192489,-0.006583000977340436,-1,-1,0.11828728516653497,-1,0.0479310560385825,-1,0.5815812848641841,0.4141649213815828,0.1674292431588561,0.17502533953833221,-1
manager,-1,-0.002444503492402328,0.23391987147613158,-1,-1,-0.12565652144625816,0.15104231667283696,-1,-0.2767285643998858,0.27453172507699897,-1,0.5562729862640396,-1,-1,-1,0.27987184094217343,0.20876522913129048,-1,-1,0.4142666071361316,-1,0.12317268832875206,-1,0.7076802330941503,0.8911740909169482,0.615136646340507,0.6651537902629814,-1
craig,-1,0.26806988698595546,0.591586327761169,-1,-1,-0.19224432039110884,0.08512267123424022,-1,-0.23655954940207558,0.2557616829455518,-1,0.45350864964851934,-1,-1,-1,0.10484253583140957,0.049349947780587766,-1,-1,0.18172459004428376,-1,0.14284938482876886,-1,0.5300909362891475,0.572695565809839,0.3209439320559674,0.38449636055519654,-1
hignett,-1,0.4085208525453934,1.0,-1,-1,0.028861341171115384,-0.05134582752714545,-1,-0.005980889569397352,-0.10530422141634044,-1,0.07913437265688628,-1,-1,-1,-0.27213452054364295,-0.2553619145973385,-1,-1,-0.17360959056154157,-1,-0.11632591355279964,-1,-0.011600668007691661,0.25651061471596104,0.23776135888480532,0.20274121236521425,-1
says,-1,-0.0448747360284425,0.07913437265688628,-1,-1,-0.20501774113402105,0.18484549503725156,-1,-0.3421291542260432,0.39190475291216775,-1,1.0,-1,-1,-1,0.4350228869658448,0.36287257392976313,-1,-1,0.3904033244267655,-1,0.2664520807133144,-1,0.40252651998577804,0.481097491336105,0.18253421115912738,0.3749512564189248,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
situation,-1,-0.2663122767265016,-0.1563163196427455,-1,-1,-0.00978757891489046,0.4663832123988313,-1,0.17290485965743008,0.4136305590355879,-1,0.47506902982459964,-1,-1,-1,0.3747297047120458,0.5454384611193387,-1,-1,0.46538718967254833,-1,0.3703722543588365,-1,0.2519403037590755,0.1728507828350021,0.008444011042811672,0.17689468472531,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
victoria,-1,-0.05825097174891347,0.12561128964136592,-1,-1,-0.12300533062598884,0.06063337501031407,-1,-0.16838680889086421,0.25180224673566076,-1,0.282312580172136,-1,-1,-1,0.16443652208850013,0.00930625390020512,-1,-1,0.2133278829926495,-1,0.029344074790532693,-1,0.2988885618034597,0.2005990814413986,0.07085708956856962,0.11754429595034577,-1
