model,16,january,2017,last,updated,at,13:09,gmt,.
stormont,0.3073013074049711,0.41278883755647366,0.408406167591862,-1,0.16367637840302252,-1,-1,0.16632138289842935,-1
faces,0.35523121679236,0.2980912501398947,0.27734497991621143,-1,-0.004133845134933312,-1,-1,0.13114273347914085,-1
collapse,0.2841415545175804,0.36435607583347285,0.3531691792843744,-1,0.08162781660123586,-1,-1,0.08633622745674474,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1
sinn,0.10007601125099641,0.1400416122776137,0.16663659603866887,-1,-0.01328014732583127,-1,-1,-0.06582006708583577,-1
féin,0.14105339687046348,0.17982219288405998,0.19983208175820488,-1,0.018164955709825237,-1,-1,-0.024231098260562023,-1
refuses,0.023698360222153547,0.11174049666220309,0.14011343373643947,-1,-0.011656861585394473,-1,-1,-0.08952162977576394,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1
nominate,0.029958948371438865,-0.024316339446342594,0.03858389297064069,-1,-0.0891148728188762,-1,-1,-0.12372866889782452,-1
deputy,0.24488152551293374,0.3243172826834022,0.2707326323626843,-1,0.04228078799210433,-1,-1,0.07141863471172116,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1
minister,0.22442810440441008,0.3311209680589897,0.25122185702497724,-1,0.03430053991195803,-1,-1,0.11608496507172572,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1
