model,he,says,that,he,'s,found,the,engines,from,the,apollo,11,space,rocket,-,the,craft,that,carried,the,first,men,to,the,moon,in,1969,.
internet,-1,0.42343852197711707,-1,-1,-1,-1,-1,0.4736829940553111,-1,-1,0.06232371832628969,0.32368532596058286,0.551402923533981,0.29937858907701353,-1,-1,0.4377560721550169,-1,0.4592648822664277,-1,-1,0.33948650192532703,-1,-1,0.2708646811091413,-1,0.19101567745028836,-1
giant,-1,0.34694374025278374,-1,-1,-1,-1,-1,0.3506727568792962,-1,-1,0.18109594214802827,0.16531511771872354,0.4146167595556509,0.4273017436283395,-1,-1,0.3970910184945724,-1,0.27087731470503007,-1,-1,0.18799978427386688,-1,-1,0.28389689648194527,-1,0.0592088068979455,-1
amazon,-1,0.3024944950033486,-1,-1,-1,-1,-1,0.32141114330723486,-1,-1,0.15265548608769308,0.17123238199791402,0.2848696923492906,0.3619029338279296,-1,-1,0.31994909931165294,-1,0.18309245756902726,-1,-1,0.08156760795869555,-1,-1,0.3007484598157075,-1,0.20623839184175052,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
owner,-1,0.6033357987450279,-1,-1,-1,-1,-1,0.2946081972576047,-1,-1,0.10836044829978153,0.2584484037922561,0.48139801489359413,0.2946183322914808,-1,-1,0.3287369324251712,-1,0.3340420890905562,-1,-1,0.3520124118407414,-1,-1,0.466683210883744,-1,0.19886644727980718,-1
jeff,-1,0.41334547741520145,-1,-1,-1,-1,-1,0.010054668205162987,-1,-1,0.08121976018986721,0.059536241688785685,-0.08940271230473962,0.10106568789466774,-1,-1,0.11388160628842336,-1,0.019336696038493084,-1,-1,0.09607926438148007,-1,-1,0.12512230719310158,-1,0.073209718980768,-1
bezos,-1,0.08466762249911519,-1,-1,-1,-1,-1,-0.23598263022193433,-1,-1,-0.10368869528182456,-0.28525924533449554,-0.33674117987858243,-0.023762278805579573,-1,-1,-0.08003339059636061,-1,-0.23815750169612682,-1,-1,-0.20535957008753614,-1,-1,-0.11293007904642471,-1,-0.092184387480577,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
made,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
amazing,-1,0.3800701946884164,-1,-1,-1,-1,-1,0.16926216671664007,-1,-1,-0.07210439748064612,0.2915782163656948,0.32831067901370026,0.10756983792954222,-1,-1,0.37675529875125635,-1,0.3065928002372541,-1,-1,0.371558939367977,-1,-1,0.31579896331033186,-1,0.13011861991001117,-1
underwater,-1,0.034468246204001685,-1,-1,-1,-1,-1,0.5880493327245464,-1,-1,0.2032514041977257,0.07869495935772897,0.4983133270537179,0.4246375994076754,-1,-1,0.5430879636347866,-1,0.4664925931678394,-1,-1,0.1842251422026714,-1,-1,0.3041281578689903,-1,0.2602734965250362,-1
discovery,-1,0.4201674239328791,-1,-1,-1,-1,-1,0.3782407853616331,-1,-1,0.07366863263687029,0.38238964715940926,0.46336766804944696,0.4274978686339883,-1,-1,0.4309397257477787,-1,0.5109437855747273,-1,-1,0.31147075215408093,-1,-1,0.3681608549916181,-1,0.2783556071148494,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
