model,mr,bezos,paid,for,a,team,to,use,advanced,sonar,scanning,equipment,to,track,down,the,lost,f-1,engines,.
internet,0.21892183191324432,-0.15346883687158086,0.4527797534484148,-1,-1,0.32739591846181204,-1,0.771176862988679,0.6104301290083808,0.45298449864196644,0.4232932327572194,0.7270208503724,-1,0.4586758514179543,0.27930370664906934,-1,0.26785340376176836,-0.5912365520861453,0.4736829940553111,-1
giant,0.13496725329021497,0.09166251053307939,0.23039259116833832,-1,-1,0.22295628008643242,-1,0.3537767300690554,0.41267469100324705,0.27048097321055153,0.3274026069693762,0.45819239987570115,-1,0.27849700933873156,0.26476824062664694,-1,0.19919432472930243,-0.36961515087196206,0.3506727568792962,-1
amazon,0.16732384736130224,0.35496481289165294,0.2834128043095281,-1,-1,0.1024654127680319,-1,0.38068843864087154,0.32721674138151147,0.11892975941351913,0.14287434184317005,0.30175773250180904,-1,0.13585156007587473,0.14559678261472409,-1,0.09343733807071752,-0.3840214737521619,0.32141114330723486,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
owner,0.36089512473916563,0.27892888928324067,0.4321852857623578,-1,-1,0.41298027442381113,-1,0.3767138283989615,0.38677385121373886,-0.03554206413144545,0.11494242127873033,0.34586387198520796,-1,0.35801449448458467,0.3456111073624424,-1,0.4917605578411077,-0.5350429497276208,0.2946081972576047,-1
jeff,0.37617743282064264,0.7603311734289696,0.08751155437624125,-1,-1,0.13852442385530628,-1,0.007579370036288946,0.1256604258120928,-0.16975533950358668,-0.04419349783390558,0.030416260312644217,-1,-0.016192293095471655,0.03474848413303744,-1,0.07191870702662173,-0.33903630142367236,0.010054668205162987,-1
bezos,0.28438170610845215,1.0,-0.06662614242371179,-1,-1,-0.15988432544990894,-1,-0.19215391616240773,-0.1672080578967079,-0.11363928698257197,-0.08974088395719004,-0.2097726584264321,-1,-0.2528257795165916,-0.17469931985260345,-1,-0.20235790753321337,-0.00808708432185079,-0.23598263022193433,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
made,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
amazing,0.13115814172476636,-0.24002531136255323,0.28843886579925493,-1,-1,0.4336740699661652,-1,0.28049565082365335,0.4408296399009739,-0.041189042835459544,0.18161185254232648,0.2646862828988049,-1,0.4120941600605714,0.19195172385647696,-1,0.38694262928912126,-0.40559124047797024,0.16926216671664007,-1
underwater,-0.08401966094156887,-0.32304260991888634,0.04088762298466908,-1,-1,0.17551753183137553,-1,0.3766541495619433,0.5986485475361284,0.6644594205499195,0.6297947387799567,0.5374801128677859,-1,0.3163377992857229,0.07955244718172072,-1,0.04662321824442606,-0.4747287486928973,0.5880493327245464,-1
discovery,0.2578586949661952,-0.16970238697071882,0.241114823661281,-1,-1,0.4301555733754263,-1,0.39453862296770215,0.5306073124006028,0.1221007690148076,0.3057005483515187,0.42472029449718973,-1,0.3532632413191661,0.26625401278032157,-1,0.27950693473345156,-0.5683383350780338,0.3782407853616331,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
