model,it,is,the,fourth,london,memorial,created,in,tribute,to,diana,-,the,others,are,the,diana,memorial,playground,at,kensington,palace,the,diana,memorial,fountain,in,hyde,park,and,the,diana,memorial,walk,at,st,james,'s,palace,.
prince,-1,-1,-1,0.2720030539309334,0.4132527356821236,0.26168469863472943,0.26138887135870714,-1,0.37886388562090334,-1,0.475501013895662,-1,-1,0.3130959317936055,-1,-1,0.475501013895662,0.26168469863472943,0.08512196074537781,-1,0.31530598440938085,0.5039972402078704,-1,0.475501013895662,0.26168469863472943,0.03833225512865113,-1,0.4344174488916678,0.3730707953113255,-1,-1,0.475501013895662,0.26168469863472943,0.23376936723322828,-1,0.6823711255969992,0.7264306826485204,-1,0.5039972402078704,-1
william,-1,-1,-1,0.24536201707896033,0.3021112983317966,0.2831879755005744,0.22351588136522238,-1,0.39478189206706493,-1,0.32718310274984286,-1,-1,0.24914056143648522,-1,-1,0.32718310274984286,0.2831879755005744,0.1077411063443614,-1,0.20515049931285678,0.36158882904460454,-1,0.32718310274984286,0.2831879755005744,0.07007428979667818,-1,0.33844580010331127,0.2549982687616711,-1,-1,0.32718310274984286,0.2831879755005744,0.21644040549155208,-1,0.725586663647482,0.7006660038877162,-1,0.36158882904460454,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prince,-1,-1,-1,0.2720030539309334,0.4132527356821236,0.26168469863472943,0.26138887135870714,-1,0.37886388562090334,-1,0.475501013895662,-1,-1,0.3130959317936055,-1,-1,0.475501013895662,0.26168469863472943,0.08512196074537781,-1,0.31530598440938085,0.5039972402078704,-1,0.475501013895662,0.26168469863472943,0.03833225512865113,-1,0.4344174488916678,0.3730707953113255,-1,-1,0.475501013895662,0.26168469863472943,0.23376936723322828,-1,0.6823711255969992,0.7264306826485204,-1,0.5039972402078704,-1
harry,-1,-1,-1,0.2512408451008121,0.1681944462933075,0.06521254911494756,0.290947154969587,-1,0.23262217103172134,-1,0.17648562334073126,-1,-1,0.24987130750038133,-1,-1,0.17648562334073126,0.06521254911494756,-0.011697947283789256,-1,0.211342106996118,0.3869713972076885,-1,0.17648562334073126,0.06521254911494756,0.009186618597764817,-1,0.45549536387374734,0.3523018030976076,-1,-1,0.17648562334073126,0.06521254911494756,0.2865271144632784,-1,0.3393483166146338,0.5989336779367702,-1,0.3869713972076885,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visited,-1,-1,-1,0.20781291528772527,0.5037719938462311,0.3089752199917084,0.4246018262247575,-1,0.27371594225222595,-1,0.27086013720659374,-1,-1,0.4659297208351003,-1,-1,0.27086013720659374,0.3089752199917084,0.1806178056012958,-1,0.18414256215330183,0.3313015594015043,-1,0.27086013720659374,0.3089752199917084,0.022414111105523715,-1,0.29838169327013,0.4501062928643351,-1,-1,0.27086013720659374,0.3089752199917084,0.3207637874524727,-1,0.4049420283677416,0.2934030809454782,-1,0.3313015594015043,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
london,-1,-1,-1,0.3656416479324067,1.0,0.38323665736766466,0.31134335106924327,-1,0.19358264661052516,-1,0.22753138505561243,-1,-1,0.40031566135883045,-1,-1,0.22753138505561243,0.38323665736766466,0.24597710354241353,-1,0.3288811679613044,0.4728439123636813,-1,0.22753138505561243,0.38323665736766466,0.03648946606948622,-1,0.42534928420992546,0.5839318970225478,-1,-1,0.22753138505561243,0.38323665736766466,0.3982944885076758,-1,0.4492052792899448,0.3166074052081912,-1,0.4728439123636813,-1
memorial,-1,-1,-1,0.16725487573791797,0.38323665736766466,1.0,0.1905207890028665,-1,0.29088206091548585,-1,0.2377424524916465,-1,-1,0.13138122962138032,-1,-1,0.2377424524916465,1.0,0.37811322670776826,-1,0.11036509782642323,0.2751256799720123,-1,0.2377424524916465,1.0,0.3131784186671208,-1,0.3012865760706822,0.4450869600678278,-1,-1,0.2377424524916465,1.0,0.2704944080050551,-1,0.3118743468276405,0.07699067503849755,-1,0.2751256799720123,-1
garden,-1,-1,-1,0.3818547487518772,0.5591318452745399,0.5540732005664384,0.31710053864523013,-1,0.22649416320789584,-1,0.2324162795412874,-1,-1,0.2501542594337285,-1,-1,0.2324162795412874,0.5540732005664384,0.4628768334111346,-1,0.3889910528926347,0.4815691761809726,-1,0.2324162795412874,0.5540732005664384,0.3814605240783413,-1,0.5315267111202293,0.6178096426256952,-1,-1,0.2324162795412874,0.5540732005664384,0.5218805889679794,-1,0.41030743598797503,0.23643982378656458,-1,0.4815691761809726,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,-1,-1,0.3541179157280606,0.3805803284869169,0.2379790921008864,0.261779246129353,-1,0.39175345239306325,-1,0.5267958120128505,-1,-1,0.5227948397492058,-1,-1,0.5267958120128505,0.2379790921008864,0.25749113403390966,-1,-0.004166632076919807,0.2503920799211339,-1,0.5267958120128505,0.2379790921008864,-0.047563745969201765,-1,0.19662474716290124,0.34005415548545104,-1,-1,0.5267958120128505,0.2379790921008864,0.4353815324866188,-1,0.35737446051779176,0.504673393607585,-1,0.2503920799211339,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,-1,-1,0.23728224434492629,0.30722209652681687,0.3462879016972549,0.301786768088923,-1,0.15760915840977463,-1,0.3337162323803138,-1,-1,0.1237675674509745,-1,-1,0.3337162323803138,0.3462879016972549,0.32268200210104603,-1,-0.04425416435816998,0.15288631615041892,-1,0.3337162323803138,0.3462879016972549,0.15827141345328744,-1,0.24734962226085933,0.2649407612880631,-1,-1,0.3337162323803138,0.3462879016972549,0.2480025050605531,-1,0.17167829503653975,0.09882043342833258,-1,0.15288631615041892,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20th,-1,-1,-1,0.6343690446852656,0.24069367501593242,0.23305469369056464,0.2542338542650975,-1,0.09348798867220798,-1,0.3199431027657882,-1,-1,0.12386500582072202,-1,-1,0.3199431027657882,0.23305469369056464,0.25997944518657046,-1,0.05442956417043843,0.22229530590816915,-1,0.3199431027657882,0.23305469369056464,0.09362795140453473,-1,0.18148130917411298,0.14084126082560522,-1,-1,0.3199431027657882,0.23305469369056464,0.30269038848421337,-1,0.19551035592600885,0.16337301012270222,-1,0.22229530590816915,-1
