model,'',they,met,representatives,from,the,causes,and,charities,supported,by,diana,including,the,royal,marsden,and,great,ormond,street,hospitals,the,national,aids,trust,centrepoint,youth,homelessness,charity,and,the,leprosy,mission,.
prince,-1,-1,0.6097023008844038,0.346619848352807,-1,-1,0.12167142750346405,-1,0.1514700197010186,0.2541604122377793,-1,0.475501013895662,0.3324354284011066,-1,0.3520976244163041,0.3870727465173309,-1,0.27192780482829293,0.11468851229975452,0.41569762934806553,0.3011357661439925,-1,0.20618867122774787,0.09512463071871458,0.3031644434153886,-0.25323322118675917,0.2230382971990883,0.01861533124248782,0.22510624112627386,-1,-1,-0.024361532037630917,0.2951277147546312,-1
william,-1,-1,0.4636343020137348,0.2621897780971951,-1,-1,0.07889085752613267,-1,0.14134455299602733,0.21656225453648026,-1,0.32718310274984286,0.28393696232872356,-1,0.18393738068044985,0.28813187096473625,-1,0.1941733153514188,0.14826954146309568,0.46342303592805556,0.2596647351946142,-1,0.15094746889362143,0.06985594991184163,0.16454609396190145,-0.19883822001585738,0.15382005541405197,0.12174392927474031,0.17674105402953633,-1,-1,-0.0013043029941073314,0.21400582648146071,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prince,-1,-1,0.6097023008844038,0.346619848352807,-1,-1,0.12167142750346405,-1,0.1514700197010186,0.2541604122377793,-1,0.475501013895662,0.3324354284011066,-1,0.3520976244163041,0.3870727465173309,-1,0.27192780482829293,0.11468851229975452,0.41569762934806553,0.3011357661439925,-1,0.20618867122774787,0.09512463071871458,0.3031644434153886,-0.25323322118675917,0.2230382971990883,0.01861533124248782,0.22510624112627386,-1,-1,-0.024361532037630917,0.2951277147546312,-1
harry,-1,-1,0.3923762648110116,0.16504181794592454,-1,-1,0.07470896364668123,-1,0.11677408015440127,0.1599185697459311,-1,0.17648562334073126,0.25961598799090857,-1,0.16695868783092638,0.15464478270994442,-1,0.3500828553303681,0.022656487924517577,0.1951178601913367,0.15949885999711644,-1,0.15817216153961122,0.1088480475427438,0.3082225821739276,-0.21558666009584337,0.17671740479189968,-0.05046219036322652,0.18759504311978448,-1,-1,0.012554798714896065,0.30297894425739047,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visited,-1,-1,0.6916366431406239,0.42032781114544937,-1,-1,0.15701694753252604,-1,0.2908349298507684,0.313274028935283,-1,0.27086013720659374,0.36635140056612336,-1,0.40749321680590733,0.26302302740903905,-1,0.25794697429423674,0.0764574293877136,0.3380069228525453,0.4394963690025988,-1,0.23184892599357076,0.04688066866263918,0.4162714342926779,-0.17617090688263914,0.2401668452727046,-0.04678944399103724,0.31002108775646087,-1,-1,0.011272744844806004,0.30480788052354924,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
london,-1,-1,0.49468276510016507,0.3478980351827895,-1,-1,0.2659676746458046,-1,0.23002534548225995,0.206219216336463,-1,0.22753138505561243,0.5005431612280357,-1,0.5314455831050477,0.2391593168339642,-1,0.4395409341527916,0.30475081519811664,0.5647774271861689,0.6054516669495192,-1,0.3109960210505692,0.16547653970257026,0.4807232248022102,-0.25750342020437067,0.46017525232502143,0.14220444053463865,0.33101392227186666,-1,-1,-0.06574379916178619,0.4384769411429005,-1
memorial,-1,-1,0.24412835649897324,0.1482902580464307,-1,-1,0.21111516392157392,-1,0.2086279344921771,0.15316460433908152,-1,0.2377424524916465,0.27185335475729755,-1,0.39543194265974035,0.07280507468088981,-1,0.25382428216176334,0.24804863773985064,0.3918892320378897,0.3221016482503709,-1,0.4318122882687371,0.2971177465294397,0.34716530646027566,-0.0019000736546166408,0.2581097537140704,0.20177416434937168,0.35286748095715814,-1,-1,0.024679833986897104,0.447601978566337,-1
