model,members,of,the,public,have,been,leaving,tributes,and,flowers,at,the,gates,of,the,palace,to,mark,the,anniversary,of,diana,'s,death,.
prince,0.2845855872819414,-1,-1,0.1769187152173245,-1,-1,0.29241420012217,0.14963733704471716,-1,0.27706030676260274,-1,-1,0.4146911525246506,-1,-1,0.5039972402078704,-1,0.612674602948949,-1,0.2370100166238034,-1,0.475501013895662,-1,0.33274107815994625,-1
william,0.16486497038016357,-1,-1,0.18865105782690617,-1,-1,0.21551934801471007,0.16440469758488618,-1,0.2913095073545606,-1,-1,0.3959758911632526,-1,-1,0.36158882904460454,-1,0.5539923416290483,-1,0.25956958163000377,-1,0.32718310274984286,-1,0.25849486534539945,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prince,0.2845855872819414,-1,-1,0.1769187152173245,-1,-1,0.29241420012217,0.14963733704471716,-1,0.27706030676260274,-1,-1,0.4146911525246506,-1,-1,0.5039972402078704,-1,0.612674602948949,-1,0.2370100166238034,-1,0.475501013895662,-1,0.33274107815994625,-1
harry,0.1924521946147042,-1,-1,0.03832207946014743,-1,-1,0.18899385251687562,0.10695099136879682,-1,0.2473905190826714,-1,-1,0.2648708468957286,-1,-1,0.3869713972076885,-1,0.591392276534783,-1,0.111933325308325,-1,0.17648562334073126,-1,0.19733841843346356,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visited,0.4065908360142112,-1,-1,0.30029741793613574,-1,-1,0.4492992765641681,0.1965886656792054,-1,0.18509395948181961,-1,-1,0.33132573284930933,-1,-1,0.3313015594015043,-1,0.2845089162999468,-1,0.12722193776532986,-1,0.27086013720659374,-1,0.2717240248946875,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
london,0.37258479652806564,-1,-1,0.3697726084220545,-1,-1,0.44812039394607384,0.10434074889729972,-1,0.0994394139379744,-1,-1,0.2956728778322475,-1,-1,0.4728439123636813,-1,0.29405371334384944,-1,0.23711294906605818,-1,0.22753138505561243,-1,0.306937265195258,-1
memorial,0.15886191922856208,-1,-1,0.3350575866058181,-1,-1,0.1962767844758153,0.07408056563808951,-1,0.25860217041635825,-1,-1,0.2971359485495,-1,-1,0.2751256799720123,-1,0.1854415639242225,-1,0.3137791279267733,-1,0.2377424524916465,-1,0.16180278145353477,-1
garden,0.1925809990787143,-1,-1,0.2676567316218086,-1,-1,0.3400748216589107,0.15352896236197755,-1,0.34057851756001745,-1,-1,0.4949790596961291,-1,-1,0.4815691761809726,-1,0.25177939378490843,-1,0.30878601994092114,-1,0.2324162795412874,-1,0.3002075576826093,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,0.40471785954828,-1,-1,0.26081238466897383,-1,-1,0.4158787861806519,0.1602442609190221,-1,0.24862774033029844,-1,-1,0.3189428690892864,-1,-1,0.2503920799211339,-1,0.4394363860828423,-1,0.26405600547733543,-1,0.5267958120128505,-1,0.5388752683511533,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,0.15920894541842534,-1,-1,0.1139055073878672,-1,-1,0.19952624457884915,0.031534477266548455,-1,0.18274596299946455,-1,-1,0.24515510247076033,-1,-1,0.15288631615041892,-1,0.22158016561090543,-1,0.4723016177176781,-1,0.3337162323803138,-1,0.23970751518731093,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20th,0.11197069012297745,-1,-1,0.11883740162985923,-1,-1,0.1818052724039797,-0.03990079686683523,-1,0.14319852479063222,-1,-1,0.20217373616227008,-1,-1,0.22229530590816915,-1,0.33602758914582653,-1,0.7487159399734484,-1,0.3199431027657882,-1,0.26359047343358166,-1
anniversary,0.14593368505324644,-1,-1,0.22546968728812766,-1,-1,0.051677079382460245,-0.08538943623320039,-1,0.05247969623138293,-1,-1,0.19379138662576956,-1,-1,0.09342647832621465,-1,0.5297517709810522,-1,1.0,-1,0.24117659769000777,-1,0.3638205481426624,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
death,0.29833145047847,-1,-1,0.2547813424479297,-1,-1,0.3034995840777972,0.2413008284265511,-1,0.08955581229498433,-1,-1,0.21649933519642883,-1,-1,0.20618865746139214,-1,0.3494105929223271,-1,0.3638205481426624,-1,0.351194556928184,-1,1.0,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
