model,the,princess,of,wales,died,on,31,august,1997,in,paris,when,william,now,the,duke,of,cambridge,was,15,and,his,brother,was,12,.
prince,-1,0.6041735678220965,-1,0.41993614132065216,0.47110970874744273,-1,0.42536010820707015,0.36115946890321315,0.3914416484332244,-1,0.4494903203434142,-1,0.8701012965353303,-1,-1,0.6261428057029139,-1,0.559830292850643,-1,0.32658078302246785,-1,-1,0.5931463383448604,-1,0.3083555483186603,-1
william,-1,0.4515926438605691,-1,0.27461053764639587,0.3473515381286548,-1,0.35686732892339645,0.2701382664182248,0.27679108879696135,-1,0.44383772805404376,-1,1.0,-1,-1,0.4463250411673718,-1,0.3846897015310582,-1,0.26557551032840765,-1,-1,0.5050539402434465,-1,0.23224610568623028,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prince,-1,0.6041735678220965,-1,0.41993614132065216,0.47110970874744273,-1,0.42536010820707015,0.36115946890321315,0.3914416484332244,-1,0.4494903203434142,-1,0.8701012965353303,-1,-1,0.6261428057029139,-1,0.559830292850643,-1,0.32658078302246785,-1,-1,0.5931463383448604,-1,0.3083555483186603,-1
harry,-1,0.27944092843638435,-1,0.31092777143609385,0.2901226281144049,-1,0.31768552382644843,0.24691522254988518,0.2718152715434793,-1,0.36491001279304225,-1,0.5475037218232316,-1,-1,0.6122276548744306,-1,0.6899425033024171,-1,0.26985344297728786,-1,-1,0.4973225983186813,-1,0.24384697111418707,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visited,-1,0.37194042316192677,-1,0.40679881368716,0.5294291921549459,-1,0.32022030852161953,0.3671577443373941,0.3995208007903175,-1,0.3330312618861725,-1,0.3778759178696396,-1,-1,0.4395682643933436,-1,0.43284253565338116,-1,0.3645127506570289,-1,-1,0.338789094010848,-1,0.3800724225739276,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
london,-1,0.35629660259937856,-1,0.5573002820741811,0.44276260382886123,-1,0.41585719367570206,0.5262762773258923,0.42611995571452776,-1,0.4209054348465785,-1,0.3021112983317966,-1,-1,0.3478498401787554,-1,0.46440880763748615,-1,0.48711619749164936,-1,-1,0.2251727697476209,-1,0.4982329814354587,-1
memorial,-1,0.2909975770509785,-1,0.2655051828429532,0.27657592980361034,-1,0.1726903024870977,0.2598686156563488,0.22208536928242817,-1,0.26623451931540265,-1,0.2831879755005744,-1,-1,0.2199817791372629,-1,0.2617570228642536,-1,0.24218579498563997,-1,-1,0.0837049496668717,-1,0.21849381061963957,-1
garden,-1,0.3999944243192928,-1,0.3135141957868115,0.3608019233713575,-1,0.13214446195129448,0.28910523306952485,0.2953462894014922,-1,0.34111672979077756,-1,0.3304169563221073,-1,-1,0.38006897627528424,-1,0.4289645789021398,-1,0.2573702189037217,-1,-1,0.2707883882261968,-1,0.2587742217830076,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
