model,the,garden,at,their,mother,'s,former,home,has,been,inspired,by,memories,of,her,life,style,and,image,such,as,her,white,``,elvis,'',catherine,walker,dress,.
prince,-1,0.31291988321678343,-1,-1,0.5878485886615874,-1,0.6306698215638046,0.32979343796510974,-1,-1,0.31344158023351076,-1,0.12098330354503295,-1,-1,0.21977162535721306,0.20521929906329361,-1,0.23681493480917748,0.16746467106509189,-1,-1,0.45302458626288533,-1,0.2411345768323132,-1,0.6488589346994158,0.4548735183256394,0.11057545287047532,-1
william,-1,0.3304169563221073,-1,-1,0.45499636303566215,-1,0.49011500234891303,0.33758702830148235,-1,-1,0.25553026751397523,-1,0.11341793860283778,-1,-1,0.163990945543949,0.1231936447717441,-1,0.1186614603325783,0.1496748914791286,-1,-1,0.37416960652348563,-1,0.18068077579202857,-1,0.5845877230863241,0.3542035729723837,0.04445371155151889,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prince,-1,0.31291988321678343,-1,-1,0.5878485886615874,-1,0.6306698215638046,0.32979343796510974,-1,-1,0.31344158023351076,-1,0.12098330354503295,-1,-1,0.21977162535721306,0.20521929906329361,-1,0.23681493480917748,0.16746467106509189,-1,-1,0.45302458626288533,-1,0.2411345768323132,-1,0.6488589346994158,0.4548735183256394,0.11057545287047532,-1
harry,-1,0.24421052338311977,-1,-1,0.38970553830375654,-1,0.45769007762710756,0.26738203992994736,-1,-1,0.33088837527860315,-1,0.12547103382200575,-1,-1,0.18474764692587797,0.2866129512986557,-1,0.2901638415409469,0.19041808280884687,-1,-1,0.4477993582448653,-1,0.3151122019879131,-1,0.6465313788718716,0.7666355326493671,0.12268334814665238,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visited,-1,0.37029293617815795,-1,-1,0.465829953151939,-1,0.4128970976015658,0.40343969777430266,-1,-1,0.35476367946742393,-1,0.1525625300774549,-1,-1,0.2891621375466884,0.132630701020102,-1,0.24781023966084859,0.26382459160705074,-1,-1,0.30487957796631526,-1,0.05625119190747896,-1,0.29696562843537033,0.26245744341742927,0.061887159433022254,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
london,-1,0.5591318452745399,-1,-1,0.3805803284869169,-1,0.4579672644361865,0.4324143216267514,-1,-1,0.3090158523919688,-1,0.08538777721121837,-1,-1,0.368836682901153,0.16282501765810276,-1,0.22180587716767708,0.35758765329986786,-1,-1,0.27571245190772664,-1,-0.06073106237770487,-1,0.23409180919550965,0.15468388282605416,0.06848676397478681,-1
memorial,-1,0.5540732005664384,-1,-1,0.2379790921008864,-1,0.23313970857382516,0.2819987591163253,-1,-1,0.18229271754977716,-1,0.21376402297720265,-1,-1,0.36194909417511,0.08449690797012888,-1,0.16484451376123066,0.20927629352323063,-1,-1,0.20354779673982626,-1,0.026744467518233228,-1,0.17053353488653222,0.02747047135550207,0.3132680454255492,-1
garden,-1,1.0,-1,-1,0.3815332778945626,-1,0.37007409854873696,0.4852658892920919,-1,-1,0.3245289255330661,-1,0.29418184762631583,-1,-1,0.4506172645752726,0.32529996991851085,-1,0.3300981058767043,0.2924358551038533,-1,-1,0.40184283589099823,-1,0.2206994433841183,-1,0.35307915047805627,0.22097041593947386,0.3069887765340654,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,0.3815332778945626,-1,-1,1.0,-1,0.4787216794686149,0.4655570720443549,-1,-1,0.449401524481051,-1,0.32850230557685756,-1,-1,0.6530620090695121,0.2358069097838782,-1,0.4528546468766299,0.2868956993739462,-1,-1,0.4144741250956512,-1,0.24923360327952038,-1,0.4193620170839931,0.2668180312326186,0.3170941609498906,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,0.3553403744500435,-1,-1,0.26074606434497527,-1,0.08750035648357324,0.12154129752277298,-1,-1,0.28659579948335945,-1,0.35457673563555314,-1,-1,0.2828634750346145,0.256681677485491,-1,0.3328210325023535,0.1477423941664988,-1,-1,0.12573678063529303,-1,0.2272231769502806,-1,0.07439950465902967,0.0658061262822085,0.34286093171046605,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20th,-1,0.3829470196778607,-1,-1,0.24513418831041456,-1,0.15107520001505503,0.3067839840327724,-1,-1,0.25034140090186585,-1,0.3573751100572532,-1,-1,0.3407121363610699,0.29343269115729953,-1,0.24787057799517243,0.15143008705321392,-1,-1,0.1379996860539402,-1,0.196195902411598,-1,-0.0705617175720532,-0.08973010718949781,0.2416701087278279,-1
anniversary,-1,0.30878601994092114,-1,-1,0.26405600547733543,-1,0.10714262971655564,0.22364497614455403,-1,-1,0.24270572454005057,-1,0.33333538775466187,-1,-1,0.36762394426507594,0.2372606115229703,-1,0.32329786174659914,0.1381222854614712,-1,-1,0.02745101351711665,-1,0.20516390578944144,-1,0.053522926418222205,0.007198492573501136,0.19665932620318216,-1
