model,the,white,garden,as,it,is,known,follows,a,tradition,first,established,at,sissinghurst,castle,in,kent,famous,for,its,own,white,garden,created,in,the,1930s,.
prince,-1,0.45302458626288533,0.31291988321678343,-1,-1,-1,0.3937569467688983,0.2542719060857801,-1,0.1398704359199574,-1,0.28155061021953265,-1,-0.3141270209877063,0.4274907771101384,-1,0.48638353489622843,0.30860822880241434,-1,-1,0.1915897104040466,0.45302458626288533,0.31291988321678343,0.26138887135870714,-1,-1,0.11864490214009471,-1
william,-1,0.37416960652348563,0.3304169563221073,-1,-1,-1,0.24717860370200406,0.14868344507502573,-1,0.10596782974862351,-1,0.20942383276495447,-1,-0.23052611855227712,0.3895265871576473,-1,0.3504312217465778,0.23407641680130098,-1,-1,0.15376855134818623,0.37416960652348563,0.3304169563221073,0.22351588136522238,-1,-1,0.09920420865069324,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
prince,-1,0.45302458626288533,0.31291988321678343,-1,-1,-1,0.3937569467688983,0.2542719060857801,-1,0.1398704359199574,-1,0.28155061021953265,-1,-0.3141270209877063,0.4274907771101384,-1,0.48638353489622843,0.30860822880241434,-1,-1,0.1915897104040466,0.45302458626288533,0.31291988321678343,0.26138887135870714,-1,-1,0.11864490214009471,-1
harry,-1,0.4477993582448653,0.24421052338311977,-1,-1,-1,0.39920643029585745,0.17747921404614486,-1,0.08218155310354358,-1,0.2629377274524046,-1,-0.3427830852533078,0.3326190692076749,-1,0.3812552904047759,0.29533179761064443,-1,-1,0.21816696378089606,0.4477993582448653,0.24421052338311977,0.290947154969587,-1,-1,0.06736222606191666,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
visited,-1,0.30487957796631526,0.37029293617815795,-1,-1,-1,0.44177739944181915,0.2547487710666536,-1,0.19484529232482195,-1,0.35692648640336433,-1,-0.16306214370658645,0.35878967538630413,-1,0.4473671225514011,0.3297431253211167,-1,-1,0.26390491712085806,0.30487957796631526,0.37029293617815795,0.4246018262247575,-1,-1,0.23110243297630095,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
london,-1,0.27571245190772664,0.5591318452745399,-1,-1,-1,0.420021729129775,0.3036013781450877,-1,0.2549832068334248,-1,0.395383957489706,-1,-0.24155576198627426,0.40618045499216704,-1,0.5856189842039239,0.34704569019558784,-1,-1,0.3198661287632366,0.27571245190772664,0.5591318452745399,0.31134335106924327,-1,-1,0.19032315560272162,-1
memorial,-1,0.20354779673982626,0.5540732005664384,-1,-1,-1,0.22379100807355057,0.15713387802713863,-1,0.21909990657094514,-1,0.2211106958333925,-1,-0.08693906349294789,0.4956157429282224,-1,0.24082377112496145,0.3426828502241668,-1,-1,0.21455124807778703,0.20354779673982626,0.5540732005664384,0.1905207890028665,-1,-1,0.2055721990441446,-1
garden,-1,0.40184283589099823,1.0,-1,-1,-1,0.30299681819659363,0.22445020805936955,-1,0.4160969070832615,-1,0.3543065640159442,-1,-0.19268505155107496,0.604411284882593,-1,0.4705657980854394,0.4160919583986451,-1,-1,0.4643182837094558,0.40184283589099823,1.0,0.31710053864523013,-1,-1,0.3475884227985071,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
their,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mother,-1,0.4144741250956512,0.3815332778945626,-1,-1,-1,0.49169003335140316,0.30400704766221565,-1,0.27994054215516573,-1,0.2701791737969037,-1,-0.45665472051690603,0.2090119502267468,-1,0.35716285791862223,0.3489078889666648,-1,-1,0.5510595465100702,0.4144741250956512,0.3815332778945626,0.261779246129353,-1,-1,0.17403479487151585,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,0.12573678063529303,0.3553403744500435,-1,-1,-1,0.19320408460002714,0.3469335992705864,-1,0.2785266985491188,-1,0.09866303995267456,-1,-0.20748006577927458,0.2578028190202635,-1,0.078571757403198,0.31510010871942773,-1,-1,0.252968294537119,0.12573678063529303,0.3553403744500435,0.301786768088923,-1,-1,0.3606230024997443,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20th,-1,0.1379996860539402,0.3829470196778607,-1,-1,-1,0.23314333427231015,0.3089716771061648,-1,0.4347121278811401,-1,0.2428908424635956,-1,-0.3068744095398086,0.264422228005159,-1,0.1675146940653539,0.34512994639392414,-1,-1,0.2839445170995394,0.1379996860539402,0.3829470196778607,0.2542338542650975,-1,-1,0.516226739648684,-1
anniversary,-1,0.02745101351711665,0.30878601994092114,-1,-1,-1,0.1791014378475273,0.36142100091506757,-1,0.34855269140484135,-1,0.16791422150922064,-1,-0.24302074459487777,0.20726522493143806,-1,0.04355253109244139,0.22698862055725688,-1,-1,0.298479413766065,0.02745101351711665,0.30878601994092114,0.18412193205562055,-1,-1,0.22752714369428695,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
her,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
death,-1,0.1712365598466855,0.3002075576826093,-1,-1,-1,0.40751028323064986,0.44379071700441486,-1,0.21435520958150622,-1,0.2933325297875442,-1,-0.3595810338269343,0.17255211580152818,-1,0.3188679488153685,0.20166778517879935,-1,-1,0.3264248224506674,0.1712365598466855,0.3002075576826093,0.28315808019595945,-1,-1,0.14607698510089084,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
