model,the,man,who,is,in,his,50s,also,sustained,a,suspected,broken,leg,in,the,first,attack,on,castle,street,at,about,18:45,bst,on,saturday,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
man,-1,1.0,-1,-1,-1,-1,0.491077318706687,-1,0.4175270806953566,-1,0.5441414901852468,0.3446495726987202,0.43094551999252584,-1,-1,-1,0.43985527392333323,-1,0.20465046926699526,0.41234405228366233,-1,-1,-1,0.2772663393070737,-1,0.41414696151342767,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eye,-1,0.5285627765432684,-1,-1,-1,-1,0.33998436705168034,-1,0.4627230785031873,-1,0.36244295483563815,0.6175017741387455,0.6442843849343509,-1,-1,-1,0.3401882305452344,-1,0.21106088131203726,0.2952472555468739,-1,-1,-1,0.1721055084342239,-1,0.3753824363463779,-1
socket,-1,0.1376867144252394,-1,-1,-1,-1,0.27636704996455963,-1,0.2411678465553051,-1,0.01831648424819632,0.35906905137326117,0.38264323390085964,-1,-1,-1,0.0011424784804003885,-1,0.04142222045825095,-0.04846817650260449,-1,-1,-1,-0.18617396489676397,-1,-0.05087690959670432,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
broken,-1,0.3446495726987202,-1,-1,-1,-1,0.28383059784265474,-1,0.603861771708354,-1,0.4620484948170671,1.0,0.6738936312641948,-1,-1,-1,0.2622875304402833,-1,0.10033773538833202,0.13838901950768034,-1,-1,-1,0.1346355965896534,-1,0.2538580637506258,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,-1,0.4541021220375572,-1,-1,-1,-1,0.2601957295445998,-1,0.3556811511130189,-1,0.4917296307191379,0.42647408957142696,0.5081567347798501,-1,-1,-1,0.4024317420885909,-1,0.1958082082461583,0.3361534008583189,-1,-1,-1,0.41152519948296584,-1,0.5338490082844143,-1
other,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
people,-1,0.43635751475834894,-1,-1,-1,-1,0.1908444497016587,-1,0.2523966787864893,-1,0.5162691871659321,0.29902366624554855,0.2894943610749525,-1,-1,-1,0.42307733275835246,-1,0.13216156498633636,0.3207723345010025,-1,-1,-1,0.3810601162635765,-1,0.4017467236423048,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
received,-1,0.3578025781401646,-1,-1,-1,-1,0.18647021598470037,-1,0.43062272634663157,-1,0.34954123952357463,0.34880140672256665,0.3108363330509075,-1,-1,-1,0.27025784346560755,-1,0.06679277701566921,0.24920850217892276,-1,-1,-1,0.3261643062605646,-1,0.2967721731384302,-1
minor,-1,0.3721058189488984,-1,-1,-1,-1,0.176084923518109,-1,0.763848177931886,-1,0.47135388213409346,0.4844689671778447,0.4719635233414954,-1,-1,-1,0.33411781199137913,-1,0.09590736170894942,0.10845151807053288,-1,-1,-1,0.15669830423226616,-1,0.30348622549238113,-1
injuries,-1,0.4228611765448995,-1,-1,-1,-1,0.2915825795966712,-1,0.801684313510871,-1,0.48319120195844567,0.5909558591931897,0.6040834428746968,-1,-1,-1,0.3918151990002594,-1,0.11250051949357609,0.18371053613627186,-1,-1,-1,0.24396048826704764,-1,0.39083526860363593,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,-1,0.4541021220375572,-1,-1,-1,-1,0.2601957295445998,-1,0.3556811511130189,-1,0.4917296307191379,0.42647408957142696,0.5081567347798501,-1,-1,-1,0.4024317420885909,-1,0.1958082082461583,0.3361534008583189,-1,-1,-1,0.41152519948296584,-1,0.5338490082844143,-1
assaults,-1,0.2711776555473908,-1,-1,-1,-1,0.19147652933834403,-1,0.44059572347194154,-1,0.4910710504330513,0.3020727860351782,0.4054438740372386,-1,-1,-1,0.40761705330141695,-1,0.0013632292738995355,0.12427766917500505,-1,-1,-1,0.3063646503058268,-1,0.3754953344985765,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ballycastle,-1,0.11367361012924737,-1,-1,-1,-1,0.025814138279414034,-1,0.040897747173310406,-1,-0.10408557260063178,-0.006235092565901601,0.1757867472577772,-1,-1,-1,-0.012003091080115214,-1,0.5070564913947397,0.19877753376496243,-1,-1,-1,0.2383640640349427,-1,0.20358763459197327,-1
county,-1,0.4894598242467604,-1,-1,-1,-1,0.19054974181603246,-1,0.19896705395981906,-1,0.20952341589769252,0.19692922711813265,0.459113133092089,-1,-1,-1,0.30135826480781236,-1,0.5034775938868767,0.3984823844433425,-1,-1,-1,0.3583562071474642,-1,0.5729895340486693,-1
antrim,-1,0.4926727436850743,-1,-1,-1,-1,0.26513931902804133,-1,0.14144053637039578,-1,0.1665809480107695,0.10231952855882842,0.28340087823807125,-1,-1,-1,0.20279001363623217,-1,0.5494161501693889,0.39240153757560803,-1,-1,-1,0.19927155863331147,-1,0.4271863399492225,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
