model,detectives,have,appealed,for,anyone,who,witnessed,the,attacks,to,contact,police,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
man,0.43190145231848154,-1,0.38707108911656385,-1,0.504141492794519,-1,0.45705431052919687,-1,0.2738084614468581,-1,0.43392580011990534,0.5232531036891375,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eye,0.18512271691501037,-1,0.3082878173873328,-1,0.4485031753505382,-1,0.3257611325483344,-1,0.15472953997994787,-1,0.5331519681783674,0.34442731286887596,-1
socket,-0.17298011603755992,-1,0.008505286859915362,-1,-0.04259026006377775,-1,0.04815711239386988,-1,-0.17810723719645494,-1,0.1515204005251074,-0.057737253222382545,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
broken,0.13139409046153072,-1,0.22747453002616635,-1,0.2465620277330256,-1,0.2363741921448842,-1,0.24102160422236074,-1,0.3127836726380242,0.2139101401024095,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,0.3776075581827869,-1,0.27087207629575194,-1,0.334647678366629,-1,0.30310333768300923,-1,0.4281047638884803,-1,0.37627229704430076,0.46593955536109943,-1
other,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
people,0.3187663222477608,-1,0.3526911657692735,-1,0.5939230935982627,-1,0.3919144487601278,-1,0.4481347877595221,-1,0.40903911035289453,0.41004992282203934,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
received,0.3641187359088147,-1,0.4678167130271853,-1,0.38550181266762684,-1,0.3688408772378362,-1,0.24359276433550248,-1,0.41808395878821336,0.46536884624952135,-1
minor,0.24122700023452492,-1,0.26699507616348983,-1,0.24786482721494618,-1,0.350383325243359,-1,0.27103651379725324,-1,0.26627643255455347,0.2611565979168491,-1
injuries,0.30471593302827804,-1,0.2721367456192031,-1,0.30034815222618727,-1,0.34045736410686245,-1,0.3186757165398001,-1,0.32910425854752057,0.32447338882847643,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,0.3776075581827869,-1,0.27087207629575194,-1,0.334647678366629,-1,0.30310333768300923,-1,0.4281047638884803,-1,0.37627229704430076,0.46593955536109943,-1
assaults,0.25240160372934195,-1,0.15764085246522153,-1,0.15229834911610118,-1,0.26718059153607465,-1,0.5078043119093318,-1,0.2085837976736633,0.23469970564458265,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ballycastle,-0.019258764046506505,-1,0.021330197061334988,-1,-0.056524536001505865,-1,-0.013845648579562608,-1,-0.07169102361980961,-1,-0.04340370364314938,0.09918488919117074,-1
county,0.23453506445314687,-1,0.2942823825788312,-1,0.22762385626703097,-1,0.1616367608593584,-1,0.20235231022943778,-1,0.24529403039080955,0.5189495224784428,-1
antrim,0.18474869738791488,-1,0.26348641000809914,-1,0.1395384939483466,-1,0.14321539237053238,-1,0.06932625173958518,-1,0.14567321048437998,0.4277309942405654,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
