model,the,pairing,won,four,consecutive,drivers,',and,constructors,',world,titles,from,2010-13,but,red,bull,have,been,heavily,critical,of,renault,in,public,since,the,start,of,2014,.
renault,-1,0.3735782699153244,0.23652953635001261,0.09958506617863827,0.13239427535575432,0.31941597982512127,-1,-1,0.0736849667854329,-1,0.1350472881412007,0.19455161242821717,-1,-0.21924272035645975,-1,0.3916529901379201,0.4657768094525925,-1,-1,0.011652492892280208,0.015504896133316626,-1,1.0,-1,-0.05121725090453677,-1,-1,0.22174282814746737,-1,0.20754391441464715,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.00037375628793812066,0.2821315158257396,0.419628970248874,0.08770086873580463,0.6365906640097515,-1,-1,-0.06400085797259902,-1,0.3322824501506304,0.23978348920452197,-1,-0.2385188683123991,-1,0.302647213668063,0.14272365329348524,-1,-1,0.25295362843017244,0.3044546164102826,-1,0.0993069955852599,-1,0.4102872258768022,-1,-1,0.604842323569018,-1,0.3536832029728372,-1
supplying,-1,0.2793033351038068,0.03877228001128474,0.23992670177394404,0.12126539154765648,0.387735306229553,-1,-1,-0.08262149582535905,-1,0.24320681715962744,0.2500085878266669,-1,-0.20719331874219948,-1,0.20954611614612717,0.14176202096976276,-1,-1,0.4292465550274114,0.1699694417544556,-1,0.18585261238087847,-1,0.09610136820345527,-1,-1,0.20335090708827552,-1,0.17858469002720678,-1
engines,-1,0.22923935807858342,0.11080032386627414,0.4698496941598078,0.18786810038747404,0.6116311402019395,-1,-1,0.019206147104693705,-1,0.1776044571613451,0.31822668627451645,-1,-0.08363627585724531,-1,0.2915992999346718,0.20767862412788762,-1,-1,0.1370763961611251,0.16004254558995723,-1,0.4946610398061678,-1,0.15564025530471204,-1,-1,0.31369686012580644,-1,0.2453378860193871,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,-1,0.22667027595269829,0.3716133174369787,0.34986042120902705,0.2997101477585211,0.35059263217624104,-1,-1,0.20270212472569282,-1,0.4551080785870327,0.32551119130965,-1,-0.1729349628108543,-1,0.20877827744879318,0.1664473571124101,-1,-1,-0.07150636503313734,0.10927257119830702,-1,0.46668079398383266,-1,0.13131983179161455,-1,-1,0.43273927500662834,-1,0.42428060120231903,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-1,0.30379119306061353,0.493500995577812,0.7505529965036798,0.3912109704184177,0.6428656823809519,-1,-1,0.20420559328376198,-1,0.4803951915810012,0.5533750886735069,-1,-0.07046775769658331,-1,0.3190590673206899,0.185533229112403,-1,-1,0.274846518084529,0.3492105205603664,-1,0.21174416755666414,-1,0.34174876061040615,-1,-1,0.6010924023943578,-1,0.4076279306733599,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,-1,0.05704318374756023,0.2331357917417911,0.32330774104977933,0.08968538131055803,0.3291793120814841,-1,-1,-0.19456979013410125,-1,0.29418675841695663,0.15320620508393756,-1,-0.13631552322755836,-1,0.20540816431830589,0.08511520504414793,-1,-1,0.23776727138564024,0.3525890544157717,-1,0.07079672329328246,-1,0.2960073279642479,-1,-1,0.6018292556740841,-1,0.40638348832384674,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
possible,-1,0.10180097200346605,0.2701085273407624,0.4041637515224973,0.17962686342472,0.37283943314929036,-1,-1,-0.17703302623186135,-1,0.29766293853971315,0.24745716461615486,-1,-0.16706018239492848,-1,0.18870233956982463,0.04826268405448253,-1,-1,0.16597696011966434,0.43023616155297173,-1,-0.05108921530781485,-1,0.33055530181934834,-1,-1,0.5208999496507832,-1,0.3593146275268435,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
