model,``,unfortunately,when,we,were,winning,championships,the,renault,name,was,never,mentioned,.
renault,-1,0.22768307002228316,-1,-1,-1,0.23506558585076665,0.2894421054734474,-1,1.0,0.178296257151089,-1,0.06565011036668233,0.06604539044723434,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.45536948675621436,-1,-1,-1,0.40018931402240376,0.25204493089106395,-1,0.0993069955852599,0.4414490686057282,-1,0.5440914618921049,0.3191402449819416,-1
supplying,-1,0.09120287527770432,-1,-1,-1,0.09161141049239452,0.1684508532632254,-1,0.18585261238087847,0.15191249882163693,-1,0.12506543322211527,0.23961658823341847,-1
engines,-1,0.26779982112346623,-1,-1,-1,0.21957716603380817,0.21431381585934206,-1,0.4946610398061678,0.1615579359404754,-1,0.14770846684036298,0.17352919810074363,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,-1,0.2260547744966942,-1,-1,-1,0.3485610017460006,0.46056613286092607,-1,0.46668079398383266,0.3315031652785082,-1,0.1600651746157049,0.12354657166594107,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-1,0.41736933558510203,-1,-1,-1,0.5382179719711371,0.5118891627631608,-1,0.21174416755666414,0.38262162252458987,-1,0.44718757926610364,0.26049991844005516,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,-1,0.39108037580257116,-1,-1,-1,0.37606476739989725,0.2046598085229424,-1,0.07079672329328246,0.4500312997902939,-1,0.5243668578480419,0.3627873079203645,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
possible,-1,0.3508828270516591,-1,-1,-1,0.3933267649147857,0.2382039535683651,-1,-0.05108921530781485,0.44012021550873703,-1,0.4156645989771899,0.3652223763110767,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
