model,it,was,the,team,that,was,winning,'',he,said,.
renault,-1,-1,-1,0.3911104769991173,-1,-1,0.23506558585076665,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,-1,-1,0.3443351205957468,-1,-1,0.40018931402240376,-1,-1,-1,-1
supplying,-1,-1,-1,0.09732825029638692,-1,-1,0.09161141049239452,-1,-1,-1,-1
engines,-1,-1,-1,0.24002361535405203,-1,-1,0.21957716603380817,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,-1,-1,-1,0.39821798758294813,-1,-1,0.3485610017460006,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-1,-1,-1,0.6699037714563402,-1,-1,0.5382179719711371,-1,-1,-1,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,-1,-1,-1,0.3406965261265973,-1,-1,0.37606476739989725,-1,-1,-1,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
possible,-1,-1,-1,0.29472379318891717,-1,-1,0.3933267649147857,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
