model,``,so,we,started,to,feel,the,return,on,this,investment,was,very,weak,.
renault,-1,0.11545299348384996,-1,0.14491340161386768,-1,0.020586517745680877,-1,0.19467779847370692,-1,-1,0.09225703836331811,-1,-1,0.12121967986874416,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.5679609001417051,-1,0.5544280124671497,-1,0.522141114862652,-1,0.596892046598411,-1,-1,0.37784415200122856,-1,-1,0.2913638404092398,-1
supplying,-1,0.1833358905644058,-1,0.3312595555910356,-1,0.13536862919163162,-1,0.18662767264205282,-1,-1,0.2726421511421111,-1,-1,0.2763388311455358,-1
engines,-1,0.27493422065896267,-1,0.3933469596083561,-1,0.080944047190467,-1,0.3118402372721071,-1,-1,0.17959588182226527,-1,-1,0.13481319211449838,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,-1,0.2806841206441515,-1,0.2034974362380304,-1,0.1473521794985484,-1,0.41716665877072,-1,-1,0.3819877277341912,-1,-1,0.20853724683682018,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-1,0.5812258967588014,-1,0.5166163474094352,-1,0.40918262923141746,-1,0.5380486788435801,-1,-1,0.3797866222603953,-1,-1,0.3046998127177196,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,-1,0.5841749974739336,-1,0.47412834812958793,-1,0.44258088715738453,-1,0.5953505578034022,-1,-1,0.2586304888899641,-1,-1,0.40127757117555196,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
possible,-1,0.5195209516985009,-1,0.34038119328787153,-1,0.4110603051898615,-1,0.5202002193880041,-1,-1,0.41661430235068375,-1,-1,0.42629768104867083,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
