model,``,it,was,intensified,by,the,fact,that,when,the,technology,changed,and,we,moved,from,the,v8,engine,to,the,present,technology,some,of,the,teams,using,our,engine,did,not,fare,well,and,the,reasons,for,which,they,are,not,performing,became,the,engine,.
renault,-1,-1,-1,0.0949154509897645,-1,-1,0.08133478499167612,-1,-1,-1,0.2803086822196996,0.07207312218490536,-1,-1,0.09458223859505432,-1,-1,-0.028376473424464477,0.6234884267656846,-1,-1,0.06977795897874906,0.2803086822196996,-1,-1,-1,0.21174416755666414,0.18104872744055156,-1,0.6234884267656846,0.1502073463467769,-1,0.1476940472580479,0.09060220491078064,-1,-1,-0.01529662275089283,-1,-1,-1,-1,-1,0.137686630178818,0.06221717794107062,-1,0.6234884267656846,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,-1,-1,0.16800210702942142,-1,-1,0.524679251010538,-1,-1,-1,0.48513452989872885,0.48985867990083154,-1,-1,0.3842458389772485,-1,-1,-0.3380479963750005,0.3919910121858661,-1,-1,0.47450875078747745,0.48513452989872885,-1,-1,-1,0.4985217800202928,0.6975513614725422,-1,0.3919910121858661,0.6385185371438764,-1,0.33314284667165117,0.4274118503253763,-1,-1,0.32955960765075587,-1,-1,-1,-1,-1,0.34828340772364286,0.2883654075113161,-1,0.3919910121858661,-1
supplying,-1,-1,-1,0.15077622070058094,-1,-1,0.17297740073561108,-1,-1,-1,0.3749595808716901,0.15641436160899058,-1,-1,0.17779262213855673,-1,-1,-0.08485102847473214,0.36509355353880646,-1,-1,0.18756247416045035,0.3749595808716901,-1,-1,-1,0.28530116122590665,0.5225404115920692,-1,0.36509355353880646,0.08180778554213819,-1,0.28618577016282953,0.24031560947765163,-1,-1,0.17102547111573463,-1,-1,-1,-1,-1,0.30201612010613155,0.2014080831720252,-1,0.36509355353880646,-1
engines,-1,-1,-1,0.22228518786637264,-1,-1,0.20985634431510602,-1,-1,-1,0.3957028675466574,0.17500768954039314,-1,-1,0.2341555319098988,-1,-1,-0.029912768568152837,0.7164598254536695,-1,-1,0.29943149481190545,0.3957028675466574,-1,-1,-1,0.4927170251220785,0.5433377503505586,-1,0.7164598254536695,0.19043514475810075,-1,0.2498396509798113,0.15107844383282953,-1,-1,0.16849272565491602,-1,-1,-1,-1,-1,0.236351188499887,0.16242915331137708,-1,0.7164598254536695,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,-1,-1,-1,0.01713614219569848,-1,-1,0.26621347161261255,-1,-1,-1,0.36768304072962144,0.14259654451357773,-1,-1,0.30937204689482733,-1,-1,-0.23975202333710022,0.4319650865696998,-1,-1,0.23974335545979286,0.36768304072962144,-1,-1,-1,0.36931092021205947,0.25292590311943974,-1,0.4319650865696998,0.29789289053202994,-1,0.36331834710948085,0.2607245765831415,-1,-1,0.14159979791797594,-1,-1,-1,-1,-1,0.256452829626469,0.22166841829527772,-1,0.4319650865696998,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-1,-1,-1,0.18401576978159484,-1,-1,0.48801115354159563,-1,-1,-1,0.4348176536253414,0.36532017828915664,-1,-1,0.521396371642389,-1,-1,-0.2967384574648504,0.3781446606001053,-1,-1,0.4963309615299003,0.4348176536253414,-1,-1,-1,1.0,0.5221496653359624,-1,0.3781446606001053,0.5177176605195667,-1,0.22000800280498412,0.5664179702477488,-1,-1,0.4380755049992515,-1,-1,-1,-1,-1,0.5470864769397336,0.3141696538488967,-1,0.3781446606001053,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,-1,-1,-1,0.28401146838565183,-1,-1,0.47995371914691765,-1,-1,-1,0.2903086224233513,0.5048963302002732,-1,-1,0.5083677800049005,-1,-1,-0.35219585955459554,0.3120150702098512,-1,-1,0.4906169789950007,0.2903086224233513,-1,-1,-1,0.3541154765889649,0.39341970117208125,-1,0.3120150702098512,0.5609417463079647,-1,0.2374863078839684,0.4974795491113989,-1,-1,0.17153622251308842,-1,-1,-1,-1,-1,0.3001450976743204,0.5697537455463163,-1,0.3120150702098512,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
