model,``,our,future,is,the,subject,of,detailed,analysis,and,renegotiating,'',he,said,.
renault,-1,-1,0.021931142745772347,-1,-1,-0.006055250216590702,-1,0.049065235148764375,0.14132683336909901,-1,0.06593751196375908,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,-1,0.437672759959991,-1,-1,0.41229299776756556,-1,0.23489448104889166,0.15421594359782254,-1,0.048111324815138135,-1,-1,-1,-1
supplying,-1,-1,0.16970199167576294,-1,-1,0.3199692798032905,-1,0.06680832779774493,-0.07993402204997047,-1,0.24941953103663828,-1,-1,-1,-1
engines,-1,-1,0.12601815884271406,-1,-1,0.21970816930691717,-1,0.25494371165142105,0.23765682613868533,-1,-0.028813642332124356,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,-1,-1,0.30713324869106806,-1,-1,0.2608753464737754,-1,0.13581510181397882,0.302526997536563,-1,-0.06473511420506695,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-1,-1,0.42023363650645695,-1,-1,0.4411440561045541,-1,0.23017010226977885,0.22078641959701528,-1,0.08060668192185927,-1,-1,-1,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,-1,-1,0.44799860569940475,-1,-1,0.40310562130278915,-1,0.2992519854818586,0.22007934921208538,-1,0.07412013927310646,-1,-1,-1,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
possible,-1,-1,0.635770813006959,-1,-1,0.5447809333083273,-1,0.352876859038032,0.24539676669616795,-1,0.14637882793755252,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
