model,'',renault,has,an,engine,supply,contract,with,red,bull,until,2016,.
renault,-1,1.0,-1,-1,0.6234884267656846,0.22342938840530624,0.3482933111246922,-1,0.3916529901379201,0.4657768094525925,0.144951588468611,0.23560397205659878,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.0993069955852599,-1,-1,0.3919910121858661,0.4459448891239024,0.2563023111925393,-1,0.302647213668063,0.14272365329348524,0.4310281780822962,0.33570761509701086,-1
supplying,-1,0.18585261238087847,-1,-1,0.36509355353880646,0.6690353747878492,0.18118355046987888,-1,0.20954611614612717,0.14176202096976276,0.07661538815772317,0.03145918719693164,-1
engines,-1,0.4946610398061678,-1,-1,0.7164598254536695,0.42815166595740606,0.2237308540161036,-1,0.2915992999346718,0.20767862412788762,0.22678462758395201,0.22324472522471417,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
formula,-1,0.46668079398383266,-1,-1,0.4319650865696998,0.2911816634051786,0.4293157069230661,-1,0.20877827744879318,0.1664473571124101,0.30387950943233055,0.4884669168533835,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
teams,-1,0.21174416755666414,-1,-1,0.3781446606001053,0.36768326419581276,0.2886966209387598,-1,0.3190590673206899,0.185533229112403,0.39773227017010737,0.4981937456335601,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
soon,-1,0.07079672329328246,-1,-1,0.3120150702098512,0.20478827460899696,0.29684454867592824,-1,0.20540816431830589,0.08511520504414793,0.5656679247025398,0.41845883384067517,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
possible,-1,-0.05108921530781485,-1,-1,0.2559368931611683,0.3449149955681021,0.28414501303383255,-1,0.18870233956982463,0.04826268405448253,0.461998062840149,0.3988414517991812,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
