model,the,vatican,usually,responds,within,six,weeks,to,approve,such,a,new,ambassador,.
france,-1,0.3253989915947739,0.43317075961908613,-0.016762526403349742,0.4255333965207261,0.6317458885012952,0.4724747243709104,-1,0.2161155407774913,0.44777115119569544,-1,-1,0.3823803007551164,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
back,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
down,-1,0.1591694016931483,0.4207319472353741,0.03434138746091486,0.3511796883291167,0.42537165090899,0.36855990627710233,-1,0.1909443854952333,0.30535420484838105,-1,-1,0.13233131254736175,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nomination,-1,0.37293409631354857,0.20252881890574437,0.01085814403793195,0.15699646647037369,0.21895901073896917,0.21399358064102614,-1,0.3496563517644675,0.13663997540761708,-1,-1,0.316073660550902,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
openly,-1,0.08961997319303394,0.3055066749378741,0.14872546598183145,0.16509795389870952,0.1195220908073118,0.18231144893247786,-1,0.26274041054676067,0.1888266813567122,-1,-1,0.23598842258990027,-1
gay,-1,0.057750767526868696,0.39498302715844025,0.06329324699788641,0.33249983386521254,0.35810349555678833,0.30495704589249084,-1,0.31223902119681934,0.4414394378090756,-1,-1,0.28478987499809105,-1
ambassador,-1,0.49462520225403583,0.09047147066523409,0.1204546847306257,0.06040194671794252,0.13458035822536263,0.1485968336835728,-1,0.15704597244144758,0.23376405386981014,-1,-1,1.0,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vatican,-1,1.0,0.20755818060976972,0.2082202808731165,0.1423143547182686,0.1630267060936551,0.18428163759033445,-1,0.26718406059637223,0.1691807779008092,-1,-1,0.49462520225403583,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
