model,pope,francis,is,regarded,as,more,tolerant,of,homosexuality,than,previous,popes,.
france,0.4106068959308329,0.32053159484952,-1,0.22171647417749085,-1,-1,0.06684888252430221,-1,0.13861306055908307,-1,0.40349218650164964,-0.0440023166604826,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
back,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
down,0.2084387308940583,0.13500956020069355,-1,0.09331798352915677,-1,-1,-0.016403711907059026,-1,0.10233710011885411,-1,0.3326422309506266,-0.18535548919568945,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nomination,0.40785155510918236,0.287885328912417,-1,0.22180549280844974,-1,-1,0.0006312673993341678,-1,0.2793749644820779,-1,0.3313122474557324,0.07500010985034467,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
openly,0.030086898928233352,0.11943516169890867,-1,0.3421475646929044,-1,-1,0.2680357444444925,-1,0.4572678743858627,-1,0.10555314106605285,-0.07383486764230263,-1
gay,-0.06122279692749166,0.046920887750435014,-1,0.24616304060212646,-1,-1,0.19508084802288128,-1,0.405480130238868,-1,0.2288926245436802,-0.03721408645546309,-1
ambassador,0.38631891131005003,0.32709024019854305,-1,0.21777223403711687,-1,-1,0.11336153109591884,-1,0.13524721276804008,-1,0.17551571403799116,-0.14817979449297747,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vatican,0.6492133694455714,0.5278154925834215,-1,0.25687859153758497,-1,-1,-0.11104023929586426,-1,0.1196076513078912,-1,0.23153331563165735,-0.2513084708183757,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
