model,``,who,am,i,to,judge,?,'',he,said,in,2013,.
france,-1,-1,0.2720777936364518,-1,-1,0.27443936204932884,-1,-1,-1,-1,-1,0.7223633832232882,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
back,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
down,-1,-1,0.27808690661199464,-1,-1,0.32459112537842827,-1,-1,-1,-1,-1,0.38460446019789074,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nomination,-1,-1,0.05193163800758327,-1,-1,0.217749718877434,-1,-1,-1,-1,-1,0.333188062767102,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
openly,-1,-1,0.19503481040823534,-1,-1,0.09042819928052181,-1,-1,-1,-1,-1,0.11908376267194398,-1
gay,-1,-1,0.21396385275499896,-1,-1,0.18293071605044664,-1,-1,-1,-1,-1,0.27740288987802764,-1
ambassador,-1,-1,0.18875764664399464,-1,-1,0.2178555317075812,-1,-1,-1,-1,-1,0.2870714742127267,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vatican,-1,-1,0.13274398677744248,-1,-1,0.47868307040508407,-1,-1,-1,-1,-1,0.2744302008290629,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
