model,``,france,has,chosen,its,ambassador,to,the,vatican,.
france,-1,1.0,-1,0.39770212544500394,-1,0.3823803007551164,-1,-1,0.3253989915947739,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
back,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
down,-1,0.4301694543882326,-1,0.3137995824475752,-1,0.13233131254736175,-1,-1,0.1591694016931483,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nomination,-1,0.2626734647961242,-1,0.41254379508468175,-1,0.316073660550902,-1,-1,0.37293409631354857,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
openly,-1,0.09826251962467802,-1,0.3334344711157361,-1,0.23598842258990027,-1,-1,0.08961997319303394,-1
gay,-1,0.3729200965892985,-1,0.408656649948157,-1,0.28478987499809105,-1,-1,0.057750767526868696,-1
ambassador,-1,0.3823803007551164,-1,0.26748244910078467,-1,1.0,-1,-1,0.49462520225403583,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vatican,-1,0.3253989915947739,-1,0.31606735987892387,-1,0.49462520225403583,-1,-1,1.0,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
