model,this,choice,was,stefanini,and,that,remains,the,french,proposal,'',said,spokesman,stephane,le,foll,.
france,-1,0.316153383960025,-1,-0.4758236824941724,-1,-1,0.37319220715573875,-1,0.6722319081378285,0.34783868970420595,-1,-1,0.3938936080916653,-0.05841909950032087,0.3435553562709803,-0.3783818702554045,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
back,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
down,-1,0.21795647182140965,-1,-0.3087050710930288,-1,-1,0.34668308193426167,-1,0.27804932090588874,0.36222023023791616,-1,-1,0.21514884935864798,-0.2521987174965812,0.08923263804433346,-0.4296250424334145,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nomination,-1,0.3858896612088756,-1,-0.10223543699041415,-1,-1,0.2054077499489998,-1,0.3921609000148796,0.43264316447568607,-1,-1,0.18999802098345897,-0.004436358115160521,0.16033391254356577,-0.251358521397377,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
openly,-1,0.2913193101605718,-1,-0.12364088383834226,-1,-1,0.15812838035462307,-1,0.21018892929705246,0.2073881635135688,-1,-1,0.08522499709276721,-0.04460429696991741,0.17353351242369963,-0.08536545936533524,-1
gay,-1,0.3423786836218148,-1,-0.3928243851357931,-1,-1,0.31531126897005923,-1,0.3736540957743344,0.3580446271443426,-1,-1,0.25138238152817727,-0.02732966996079811,0.3144450417245097,-0.22006791733087128,-1
ambassador,-1,0.15518483218681633,-1,-0.14235927969360418,-1,-1,0.18429850143132187,-1,0.5899670722449742,0.2588857547481421,-1,-1,0.36865331734374607,0.26169818606168405,0.3277554709166344,-0.0938737976039068,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vatican,-1,0.13600387982388795,-1,-0.1681616122422036,-1,-1,0.2583027799161759,-1,0.5612957965465905,0.41264983125721677,-1,-1,0.5693715500024725,0.3447656137154729,0.39888396245599567,-0.08462595365901793,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
