model,the,vatican,traditionally,makes,no,statement,if,it,intends,to,decline,a,nomination,.
france,-1,0.3253989915947739,0.26924407645253146,0.3548132281587586,0.3422896785970725,0.43190750697022695,-1,-1,0.26001987960212125,-1,0.33148408980104827,-1,0.2626734647961242,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
back,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
down,-1,0.1591694016931483,0.25432746625154,0.4062965637186209,0.2843641085440498,0.3321789940693727,-1,-1,0.2807173202342994,-1,0.3857583114972988,-1,0.04158475007948359,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nomination,-1,0.37293409631354857,0.1890525684328842,0.17688256690456938,0.243668382135675,0.33337405140949805,-1,-1,0.23016890419653657,-1,0.16812191805904786,-1,1.0,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
openly,-1,0.08961997319303394,0.44127355413834035,0.13356063780344085,0.06606937975177485,0.18050846564481637,-1,-1,0.23876336392354924,-1,0.09162219962593121,-1,0.24924853693138416,-1
gay,-1,0.057750767526868696,0.35055458779951354,0.27341842459337795,0.2686768623699335,0.24135237024066725,-1,-1,0.15959117316144167,-1,0.14036656844054274,-1,0.2717064606298216,-1
ambassador,-1,0.49462520225403583,0.18618326250309458,0.26742292614114227,0.1119348859574989,0.33053319845960616,-1,-1,0.34438543708446856,-1,0.16930059397004482,-1,0.316073660550902,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vatican,-1,1.0,0.24181893943076105,0.17927903215976682,0.16041617487510174,0.5122760904108099,-1,-1,0.41784312881585683,-1,0.22463343226185362,-1,0.37293409631354857,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
