model,he,was,described,by,the,country,'s,foreign,ministry,as,``,one,of,our,best,diplomats,'',.
france,-1,-1,0.3824575036388025,-1,-1,0.594419738896317,-1,0.42482838686322066,0.3803260539553954,-1,-1,0.5131635625550168,-1,-1,0.4203310202287105,0.3084090956651856,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
said,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
it,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
back,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
down,-1,-1,0.297265607546203,-1,-1,0.38064187985527065,-1,0.20371170537593364,0.2076719881921434,-1,-1,0.39909210468917833,-1,-1,0.2660283035926947,0.1256482840397246,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
its,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nomination,-1,-1,0.2137884245324011,-1,-1,0.253972092423574,-1,0.2160692597595817,0.1602902253326226,-1,-1,0.26310536219499703,-1,-1,0.40481744629871197,0.19057758628032617,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
openly,-1,-1,0.20768206648106713,-1,-1,0.1952549540626094,-1,0.2664895653580299,0.20578964778961106,-1,-1,0.18090719431405544,-1,-1,0.1470813120832818,0.31867377836090793,-1,-1
gay,-1,-1,0.30355455829153977,-1,-1,0.39874890789141526,-1,0.35984571795316134,0.2703239688346417,-1,-1,0.3530580594995938,-1,-1,0.3103137635278985,0.3833082120319553,-1,-1
ambassador,-1,-1,0.3334786115790178,-1,-1,0.4249466133225055,-1,0.5662320083571587,0.45910481869469866,-1,-1,0.21653488259741438,-1,-1,0.30843251837395025,0.5757626306172793,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
vatican,-1,-1,0.3860270294740218,-1,-1,0.26307099063623596,-1,0.38635432309400974,0.547255788313017,-1,-1,0.25110093177483694,-1,-1,0.14898895318816474,0.35676887376727473,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
