model,the,west,yorkshire,brigade,said,the,public,would,be,left,in,a,``,vulnerable,position,'',and,asked,people,to,take,extra,care,this,weekend,.
firefighters,-1,0.20880326174832453,0.2329888292430926,0.23888679961974768,-1,-1,0.13326361815004883,-1,-1,0.24161961464092974,-1,-1,-1,0.36387803943921193,0.1153603857329697,-1,-1,0.2375229207517593,0.43282829524643684,-1,0.17829032844558745,0.3166197775193116,0.24550143781977218,-1,0.09705098990829342,-1
across,-1,0.5714778923759773,0.5772808730074839,0.16730425544842564,-1,-1,0.4151066310167941,-1,-1,0.363633677997828,-1,-1,-1,0.44230954824133484,0.3784420287877217,-1,-1,0.27477053920073935,0.5002720916419515,-1,0.3755758701879559,0.48235493105207095,0.4111708539567389,-1,0.459128543578462,-1
england,-1,0.6199920952815242,0.5361411367671806,0.1143414235854564,-1,-1,0.36335235608362737,-1,-1,0.30674226880813427,-1,-1,-1,0.34361782032328736,0.38131026175445326,-1,-1,0.3711776660844298,0.34422370548071246,-1,0.39717839715665837,0.4401718254959014,0.47418937713461906,-1,0.4963118590009663,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
four-day,-1,0.25542643205847015,0.26323957339520576,-0.02436166135052753,-1,-1,0.131372176901994,-1,-1,0.061714255883670854,-1,-1,-1,0.06450419727994461,0.24604026563602865,-1,-1,0.07018984489592706,0.03192132801161829,-1,0.2421419517004335,0.10722880087332443,0.15831245077045764,-1,0.5828474024312167,-1
strike,-1,0.2504377322999439,0.15518716779142228,0.1072767965483501,-1,-1,0.235480578431282,-1,-1,0.34477123409789145,-1,-1,-1,0.2463687281130904,0.26438892715751394,-1,-1,0.28107908833300543,0.22398826624008317,-1,0.3548386114142492,0.34208779488656105,0.2562492559346362,-1,0.42901916336388335,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
row,-1,0.3708178931318413,0.286387161809156,0.10423781450887692,-1,-1,0.31780944563946,-1,-1,0.34504111824369155,-1,-1,-1,0.19809260034155907,0.41579654502652375,-1,-1,0.3336753349427155,0.2610687246165473,-1,0.349929517314417,0.3113899854647415,0.21464440742877888,-1,0.5365810214267439,-1
