model,industrial,action,over,the,past,18,months,has,seen,fire,authorities,spend,millions,hiring,contractors,to,cover,for,striking,fbu,members,.
firefighters,0.15957479017596676,0.23264621829602927,-1,-1,0.27920513667592406,0.4286841186751178,0.3692725100014841,-1,0.23424101121175545,0.5968856357130463,0.30311741590330277,0.28012180101132067,0.3307586553679762,0.4349594494481721,0.5115188290284455,-1,0.3078944250136163,-1,0.32489741157207064,0.039247674090297724,0.32380880328750616,-1
across,0.3926613039988457,0.32966596562856587,-1,-1,0.45994637423373297,0.4215034029264013,0.44980740416863363,-1,0.4903090926351399,0.458226354562573,0.41703141974927316,0.3873874895644889,0.44753046615533554,0.16411944202179307,0.3266287735549188,-1,0.49365598915237574,-1,0.28278003670116636,0.016574257731121866,0.4093145743031237,-1
england,0.32744216099788204,0.3707840181918627,-1,-1,0.39147282096528757,0.46944643077585757,0.4472782836965177,-1,0.37131569276175125,0.32438665832190283,0.38454733580324585,0.3541985986771605,0.2726896523626581,0.1083742784977858,0.1871559296159675,-1,0.4563145009154186,-1,0.2280639778376583,0.005267025506865308,0.320553787980703,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
four-day,0.2784050024036142,0.30506098260230763,-1,-1,0.16041882218275516,0.16105583806272916,0.29692437523257076,-1,0.19121486390052866,0.14775149934144904,0.09402333545099617,0.19236117394590857,-0.024020192186070988,0.008201010017527266,-0.01065875798172522,-1,0.1421149404321339,-1,0.07115841429095893,-0.012828258674098869,0.11606092735025886,-1
strike,0.4718699066494805,0.6217219460456571,-1,-1,0.34483335045793795,0.34444721493369235,0.3632126189053668,-1,0.26639813416365876,0.280056817014642,0.3287435262390812,0.21599233645382498,0.08553078430678152,0.18625089620819557,0.22765996319702575,-1,0.3528420002079964,-1,0.37024304727908364,0.005422429455086086,0.3864343038299314,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
row,0.3109745476187551,0.30639474912618747,-1,-1,0.47873627136647867,0.43639040137515317,0.4996744582233428,-1,0.29130085504571224,0.3135443611429465,0.2880086223435485,0.2660264072638683,0.2644340281533738,0.13078751709296932,0.1355617107858823,-1,0.3735419442063316,-1,0.3214261558231102,0.011998486997828905,0.2881599234455705,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pensions,0.35723550385315006,0.2706161085718094,-1,-1,0.20450190331348805,0.16072120368036824,0.17844429897302805,-1,0.13297635776498884,0.16413402863444027,0.37232004781484684,0.32922299061659277,0.3561457053751964,0.3341737472159241,0.43306969709625076,-1,0.3232496804328041,-1,0.032488532869532905,-0.29953484230852356,0.277908523573143,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
one,0.32162943517292186,0.3811233406417829,-1,-1,0.3840832627923394,0.49768883906581163,0.4855092875020641,-1,0.4619219023420206,0.3766572015758469,0.35011649453464067,0.37235224386929455,0.34513175861794754,0.191936682029492,0.2986340204674751,-1,0.4857673223647391,-1,0.38839406445388114,0.021744423336159557,0.4168196984841879,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
service,0.4560097074364482,0.48706377933270484,-1,-1,0.2818672993097411,0.3934559966036475,0.4003264105589348,-1,0.36776623169896316,0.6191776878717906,0.4279267224796963,0.32643177544378343,0.20102638612071644,0.2628978674999791,0.447573418769337,-1,0.5625596811380107,-1,0.17866780078945022,-0.05181060478944621,0.41527774413395413,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
busiest,0.3520111587432684,0.09302839856731249,-1,-1,0.20479366248050834,0.2513198970558179,0.2987289822654433,-1,0.2240101307099862,0.20401254850712236,0.03446319752583893,0.22418441035479342,0.06662129677835216,0.0073178961110057505,0.14975179887485945,-1,0.2004804909122614,-1,0.11918826809080119,0.12745048979649187,0.16995498805137432,-1
weekends,0.20728476560917164,0.17366657941471764,-1,-1,0.35347628634831796,0.43902609948584215,0.4966678805394693,-1,0.1825486745151662,0.19512614893633773,0.14493780511307963,0.48220801954400594,0.202853112719231,0.3556751597052805,0.3659483429506343,-1,0.3667501821159722,-1,0.29639061953896595,-0.04777622411218885,0.22235561389368896,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.43657679094893087,0.40216188580705303,-1,-1,0.5592981417819638,0.6867496052532445,0.7499697032305267,-1,0.49422892822021525,0.2519761291277003,0.432067862097421,0.6036793136994081,0.4978728526649767,0.258099398133422,0.2917620685770794,-1,0.5919807056348171,-1,0.2507439725312117,0.009948561610392148,0.4276854508504444,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
