model,``,public,safety,is,the,primary,focus,and,if,anyone,needs,emergency,assistance,they,should,dial,999,.
firefighters,-1,0.13326361815004883,0.24832288122473234,-1,-1,0.13979773759169345,0.21504190556590363,-1,-1,0.19317486092755598,0.22085301493120446,0.4132697716165543,0.19891811662037107,-1,0.22196811078445966,0.14934811086925348,0.27211868314723975,-1
across,-1,0.4151066310167941,0.37232594257345086,-1,-1,0.340640226461976,0.5046209388554701,-1,-1,0.28273270684071883,0.3895750897690875,0.39131671058646,0.19419820022587198,-1,0.45202003708717453,-0.05169265848707916,0.05190376879709657,-1
england,-1,0.36335235608362737,0.3804685627313974,-1,-1,0.4375235287557224,0.45718756908270053,-1,-1,0.27581395315975143,0.4422693446961379,0.33103111349971015,0.23159311913496938,-1,0.5006764297776428,-0.18218415424798895,0.01616251558064863,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
four-day,-1,0.131372176901994,0.12453399525027731,-1,-1,0.22080598379762706,0.23184533980874367,-1,-1,0.010573189671734262,0.08618055645768119,0.23528677147578758,0.04794825185030149,-1,0.09469151262185582,-0.10423939575109253,0.017632300891838648,-1
strike,-1,0.235480578431282,0.2645594208418063,-1,-1,0.22163560872223897,0.28518962254497526,-1,-1,0.21114879118055874,0.21479540910610906,0.4052325981820051,0.2513541397553889,-1,0.2819668587751223,-0.031764299467388124,0.18225894710508883,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
row,-1,0.31780944563946,0.37330402953608066,-1,-1,0.19582741332557274,0.30673751081531986,-1,-1,0.2298967039187958,0.241136723254193,0.24753097058354412,0.1069468568166052,-1,0.2749428575239006,0.01999307250752891,0.17543069604575345,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pensions,-1,0.3702422718436015,0.4024624078211355,-1,-1,0.2704914400588998,0.2977654032363062,-1,-1,0.15996098805427605,0.40323421575588303,0.3886623191032561,0.32268786276594574,-1,0.33556429183540604,-0.17314156929057511,0.04312336717257126,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
one,-1,0.2835647249416764,0.40562170688812715,-1,-1,0.3691080236471185,0.4830958538365905,-1,-1,0.40124116961927403,0.441001190370818,0.32128018741595465,0.19148025655452183,-1,0.49817097052713166,-0.07705540780180042,0.08694519321165362,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
service,-1,0.5199215754788651,0.5398757059616723,-1,-1,0.3613213160315858,0.4704988768173568,-1,-1,0.2926082798698444,0.46117420195048364,0.7253477058800375,0.4485430677822825,-1,0.5208214399387683,0.003419977180940781,0.3461463443245112,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
busiest,-1,0.163556154554641,0.21472039021946665,-1,-1,0.32412611144878334,0.3194218385716947,-1,-1,-0.08088868132358429,0.1772667500352746,0.1929731502637687,0.0032475086902475914,-1,0.11917473217227004,-0.08199523375732909,-0.09231530113018205,-1
weekends,-1,0.27470387434098675,0.2978780751501837,-1,-1,0.35778195012024516,0.305212680100463,-1,-1,0.14601864604555004,0.27976009830560233,0.3003234745779073,0.1605039626570075,-1,0.26597688156747057,0.0725708893409387,0.02614595770879935,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,0.4114399784740914,0.340323923561097,-1,-1,0.4025780205584524,0.43888178764829877,-1,-1,0.3249855030834071,0.45706346373727913,0.4038217024506139,0.23440612166874342,-1,0.509702566798273,-0.1187386800148007,0.11169465886579388,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
