model,general,secretary,matt,wrack,accused,the,westminster,government,of,``,sickening,hypocrisy,'',.
firefighters,0.06877469425910232,0.09411958975999468,0.03735551972109641,-0.2365257556474769,0.269312620659687,-1,0.1763750384765086,0.23537343428153634,-1,-1,0.07298891428128784,0.034048310412750915,-1,-1
across,0.13860957604458446,0.1379558511146658,0.12087034158473653,-0.3458152549625655,0.24326903387140997,-1,0.3051108234858355,0.35882622637438644,-1,-1,0.03089080779045239,-0.07204093676362056,-1,-1
england,0.2355564719889155,0.22041534897436021,0.39807669973593063,-0.11085565277264053,0.26554781327985877,-1,0.256259844532543,0.3351427687918097,-1,-1,-0.10003882047322454,-0.15599270831760315,-1,-1
are,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
four-day,0.1561432914978642,-0.014790424998239793,-0.07547606788034256,-0.2302451271959074,0.0276373963815868,-1,0.197702425454096,0.0011796095333693746,-1,-1,0.15752616805963837,0.05872601300161506,-1,-1
strike,0.3284141853076361,0.18942145984167158,0.1614356545243405,-0.16865317580477623,0.2146242943022355,-1,0.30674634038731796,0.31125359114780027,-1,-1,0.1404501200434849,-0.0007575965242672122,-1,-1
in,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
row,0.2761256959069611,0.18669306649090478,0.19616579767201303,-0.23379262115668498,0.34353979124481615,-1,0.31159975443991106,0.3006872306432833,-1,-1,0.11903543162414676,0.18999232508493125,-1,-1
over,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pensions,0.39992811145419793,0.6455711652538789,0.47172258012119306,0.26425849182214955,0.2428597174422873,-1,0.14898939209244244,0.38187140327685076,-1,-1,-0.06710963689860683,-0.035112551550904536,-1,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
one,0.21355727605048114,0.18218236936572763,0.24110121784873628,-0.30981769364631284,0.4295669222665006,-1,0.30645146635885223,0.3496286568693796,-1,-1,0.08696584875860014,0.08457694567710927,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
service,0.3022748311235488,0.35312664276847405,0.103593643188859,-0.18663425012134693,0.2832167136782092,-1,0.19508548476280296,0.32344427360165584,-1,-1,0.032065259277482494,-0.14092283196695932,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
busiest,0.12052587757314126,-0.0900818720702794,-0.1380933329318743,-0.29858833125311657,-0.023260631105733065,-1,0.22431077742021654,0.05117735470839291,-1,-1,0.07693326185520344,0.055275526847087586,-1,-1
weekends,0.16806078293047677,-0.05653544108767705,-0.09034352744424612,-0.41200383986519684,0.09166526499003391,-1,0.2675988994160088,0.09558136275564977,-1,-1,0.1412176441045393,0.1893011598017178,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.4031232360968082,0.25738345786268346,0.16483056225677872,-0.3381052360951542,0.3701016597894744,-1,0.3717935587334176,0.46018287011009185,-1,-1,-0.03939540508005823,-0.03447292762978105,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
