model,footage,showed,the,workers,rescued,through,a,hole,cut,in,one,of,the,glass,windows,of,one,world,trade,center,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
york,0.3264371088742324,0.4363553920687887,-1,0.23675009580606943,0.12999085048816217,0.32147328434138656,-1,0.34295089075366736,0.21459558731961226,-1,0.37375656163893,-1,-1,0.18006868043219182,0.1916212065316769,-1,0.37375656163893,0.24185293809760722,0.20510458404451426,0.4084983883600555,-1
firefighters,0.1626664350106739,0.17932182548454745,-1,0.47023891169478804,0.616910473280674,0.22960869872223832,-1,0.21597984334330378,0.3353155443371625,-1,0.2531169190522552,-1,-1,0.1695362621794747,0.20297861997540356,-1,0.2531169190522552,0.1017097106212208,0.08778301530723764,0.020025441801678756,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,0.2935555624865529,0.19974942115736516,-1,0.463734500093566,1.0,0.3333355456969469,-1,0.38031694578696107,0.38617877482116514,-1,0.41626616232165436,-1,-1,0.275842557891085,0.277872735508662,-1,0.41626616232165436,0.19804683758303288,0.05795090412792514,0.015036170798306214,-1
two,0.33212513520063514,0.4338608309634089,-1,0.49818336313898737,0.5051909754037122,0.472745669859741,-1,0.5321189363166229,0.4448584154696261,-1,0.6391626961863863,-1,-1,0.27176643332637784,0.34733988570088536,-1,0.6391626961863863,0.4605427247282454,0.31892727412162203,0.1712610861808419,-1
window,0.16602136881586338,0.24501242658630618,-1,0.12475853273895654,0.16440249049083877,0.4741043824388047,-1,0.46226492310803313,0.35330063474438655,-1,0.21412597693956648,-1,-1,0.4108880229975047,0.6203817017102089,-1,0.21412597693956648,0.2052306863583332,0.2635318225763724,0.15218640849104947,-1
cleaners,-0.15895686812398635,-0.1929163109744283,-1,0.22213337243773346,0.17788586159572461,0.17956838014038679,-1,0.12211215371947215,0.15709192544592077,-1,-0.006249786984002581,-1,-1,0.25476990291437085,0.3101529859335792,-1,-0.006249786984002581,-0.0870664985650147,0.03819527105659459,0.04805530384881085,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,0.427791045918853,0.4212011891110887,-1,0.6052969571893766,0.7018552549000768,0.4583592674379219,-1,0.5598004883089441,0.46093627859415187,-1,0.5096473764861758,-1,-1,0.46327505957518533,0.3567040237406276,-1,0.5096473764861758,0.3416038151509624,0.2600770779012964,0.13359112058571498,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
collapsed,0.1268784983552036,0.16682906723535862,-1,0.31946776124175624,0.28553280622075494,0.33958113902197795,-1,0.38842350641271906,0.3106275542957283,-1,0.301632828903188,-1,-1,0.370315060391334,0.3669874400939859,-1,0.301632828903188,0.21067585065077776,0.2562929945542074,0.14591080318323968,-1
