model,``,these,are,the,kind,of,emergencies,architects,plan,for,'',he,said,.
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
york,-1,0.23094507514457452,-1,-1,0.2628864620624395,-1,0.044057280063519055,0.05930589099642747,0.26335050588652875,-1,-1,-1,-1,-1
firefighters,-1,0.3064726071079469,-1,-1,0.09286029222538927,-1,0.19832203776125756,0.056888991227471375,0.2567260625033352,-1,-1,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rescued,-1,0.23095185206958535,-1,-1,0.2027158217430438,-1,0.10579549864127846,0.07586264764407791,0.15905643542433356,-1,-1,-1,-1,-1
two,-1,0.5736965259623956,-1,-1,0.373027947294989,-1,0.19440535315940055,0.09740234931578273,0.3644023694556584,-1,-1,-1,-1,-1
window,-1,0.19849772164167634,-1,-1,0.22713173514657292,-1,0.07632641449565514,-0.02406663651588481,0.23831597881646527,-1,-1,-1,-1,-1
cleaners,-1,0.1397877602273565,-1,-1,-0.045539555169893164,-1,0.19048510340099767,0.11908433587579348,0.016959074921479855,-1,-1,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
were,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,-1,0.5128598534694926,-1,-1,0.470069228637078,-1,0.22902992947945444,-0.014537933170875705,0.3125636686478648,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
collapsed,-1,0.14094069888973526,-1,-1,0.242872796360191,-1,-0.038001070290910155,0.050272541810640226,0.33650527462086666,-1,-1,-1,-1,-1
cradle,-1,-0.028239353022689206,-1,-1,0.08334317893433751,-1,0.17100122787329597,0.004932993864306456,-0.0656363936986728,-1,-1,-1,-1,-1
69,-1,0.15099709712484233,-1,-1,0.13826797772732258,-1,-0.10008600379210608,0.029795808046203076,0.09444342084419566,-1,-1,-1,-1,-1
storeys,-1,0.06435140520682636,-1,-1,-0.14864174857886026,-1,0.021868796348637032,-0.021924879538182118,-0.07551061669454628,-1,-1,-1,-1,-1
above,-1,0.40192118046229686,-1,-1,0.3602130222438209,-1,0.010194496728309521,0.022754499736435174,0.3076461117041436,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ground,-1,0.47868235904091916,-1,-1,0.4751819846332943,-1,0.14855083661373114,0.12196389705242627,0.44318366418826294,-1,-1,-1,-1,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,0.3325353078086837,-1,-1,0.3628762957139964,-1,0.1303801708501121,0.08572118048251487,0.2752863417470244,-1,-1,-1,-1,-1
trade,-1,0.3660629262249958,-1,-1,0.2958368271950066,-1,0.19675520352356213,0.061408036045146774,0.4511706839041332,-1,-1,-1,-1,-1
center,-1,0.13150048025935368,-1,-1,0.10173618339596247,-1,0.2932714624371662,-0.1429606509879664,0.34168401283349525,-1,-1,-1,-1,-1
site,-1,0.42131474953618486,-1,-1,0.42377161665754504,-1,0.13349091272840363,0.11848269283682278,0.49072563662954294,-1,-1,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
